大 越 史 記 續 編 序	Đại Việt sử kí tục biên tự	
迨 神 宗 淵 皇 帝 陟 方 則 亨 屯 濟 蹇 左 扶 右 持 明 言 用 保 弘 濟 艱 難 尊 立 大 行 皇 帝 於 幼 冲 嗣 位 之 初 薰 陶 聖 德 就 将 敬 學 聲 名 洋 溢 外 方 信 義 有 孚 上 國 寵 以 王 章 榮 以 金 印 居 位 垂 有 十 年 時 和 年 豊 民 康 物 阜 號 令 典 刑 煥 然 可 述	Đãi Thần Tông Uyên Hoàng Đế trắc phương tắc hanh đốn tế kiển tả phù hữu trì minh ngôn dụng bảo hoằng tế gian nan tôn lập Đại Hành Hoàng Đế ư ấu xung tự vị chi sơ huân đào Thánh đức tựu tương kính học thanh danh dương dật ngoại phương tín nghĩa hữu phù thượng quốc sủng dĩ Vương chương vinh dĩ kim ấn cư vị thuỳ hữu thập niên thời hoà niên phong dân khang vật phụ hiệu lệnh điển hình hoán nhiên khả thuật	
加 以 内 平 四 海 外 讋 百 蠻	Gia dĩ nội bình tứ hải ngoại triệp bách man	
其 土 地 之 廣 人 民 之 眾 親 於 昔 時 大 有 逕 庭 矣	Kì thổ địa chi quảng nhân dân chi chúng thân ư tích thời đại hữu kính đình hĩ	
詎 意 本 年 十 月 十 五 日 大 行 皇 帝 上 賓 嗣 承 猶 乏 第 念 神 噐 至 重 惟 先 君 之 子 有 賢 德 者 足 以 克 堪	Cự ý bản niên thập nguyệt thập ngũ nhật Đại Hành Hoàng Đế thượng tân tự thừa do phạp đệ niệm thần khí chí trọng duy tiên quân chi tử hữu hiền đức giả túc dĩ khắc kham	
今 皇 弟 黎 維 襘 乃 先	Kim Hoàng đệ Lê Duy Cối nãi tiên	
帝 神 宗 淵 皇 帝 之 次 子 適 值 先 帝 於 倦 勤 之 日 甫 初 二 歲 奉 囑 託 阿 保 鞠 育 于 府 中 蒙 養 匡 救 教 導 誘 掖 正 言 正 道 日 使 聞 行 兹 年 十 有 一 德 年 俱 長 賢 孝 夙 聞 可 承 大 統 應 尊 立 即 皇 帝 位 以 副 天 下 臣 民 之 望	đế Thần Tông Uyên Hoàng Đế chi thứ tử thích trị tiên đế ư quyện cần chi nhật phủ sơ nhị tuế phụng chúc thác a bảo cúc dục vu phủ trung mông dưỡng khuông cứu giáo đạo dụ dịch chính ngôn chính đạo nhật sử văn hành tư niên thập hữu nhất đức niên cụ trưởng hiền hiếu túc văn khả thừa đại thống ứng tôn lập tức Hoàng đế vị dĩ phó thiên hạ thần dân chi vọng	
節 制 府 暨 大 臣 文 武 百 官 等 當 體 我 至 意 同 心 修 輔 夙 夜 祗 勤 各 盡 當 爲 以 成 致 治 之 功 以 躋 悠 久 之 盛 保 永 世 惟 帝 惟 王 之 業 朂 哉	Tiết chế phủ kị đại thần văn vũ bách quan đẳng đương thể ngã chí ý đồng tâm tu phụ túc dạ chi cần các tận đương vi dĩ thành trí trị chi công dĩ tê du cửu chi thịnh bảo vĩnh thế duy đế duy vương chi nghiệp húc tai	
是 月 十 九 日 丙 寅 王 親 率 節 制 府 暨 大 臣 文 武 百 官 尊 立 皇 弟 維 襘 即 皇 帝 位	Thị nguyệt thập cửu nhật Bính Dần Vương thân suất Tiết chế phủ kị đại thần văn vũ bách quan tôn lập Hoàng Đệ Duy Cối tức Hoàng đế vị	
以 明 年 爲 陽 德 元 年	dĩ minh niên vi Dương Đức nguyên niên	
大 赦	Đại xá	
尊 王 正 妃 鄭 氏 玉 瓏 爲 國 太 母	Tôn Vương chính phi Trịnh Thị Ngọc Lung vi Quốc thái mẫu	
嘉 宗 羙 皇 帝 諱 維 襘 神 宗 次 子 也 初 神 宗 崩 帝 甫 二 歲 王 命 正 妃 鄭 氏 玉 瓏 養 于 宫 中 玄 宗 崩 無 嗣 遂 登 大 寶 在 位 四 年 崩 壽 十 五 歲 塟 福 安 陵	Gia Tông Mĩ Hoàng Đế Huý Duy Cối Thần Tông thứ tử dã Sơ Thần Tông băng Đế phủ nhị tuế Vương mệnh Chính phi Trịnh Thị Ngọc Lung dưỡng vu cung trung Huyền Tông băng vô tự toại đăng đại bảo Tại vị tứ niên băng thọ thập ngũ tuế táng Phúc An lăng	
帝 體 貌 英 偉 天 性 寬 和 有 君 之 德 惜 夫 享 國 於 久 未 見 其 有 爲 也 壬 子 陽 德 元 年 清 康 熙 十 一 年 春 正 月 仍 給 開 國 功 臣 黎 來 祭 田 孫 姪 世 守 祀 事	Đế thể mạo anh vĩ thiên tính khoan hoà hữu quân chi đức Tích phu hưởng quốc ư cửu vị kiến kì hữu vi dã Nhâm Tí Dương Đức nguyên niên Thanh Khang Hi thập nhất niên xuân chính nguyệt những cấp khai quốc công thần Lê Lai tế điền tôn điệt thế thủ tự sự	
三 月 以 楊 㵆 爲 御 史 都 御 史 阮 宗 澧 爲 吏 部 左 侍 郎 阮 荗 材 爲 副 都 御 史 棃 得 全 爲 僉 都 御 史	Tam nguyệt dĩ Dương Hạo vi Ngự sử đài đô ngự sử Nguyễn Tông Lễ vi Lại bộ Tả thị lang Nguyễn Mậu Tài vi Phó đô ngự sử Lê Đắc Toàn vi Thiêm đô ngự sử	
夏 四	Hạ tứ	
月 王 以 廣 南 阮 福 頻 久 違 朝 命 負 固 不 服 告 祭 于 天 地 神 祗 聲 罪 致 討	nguyệt Vương dĩ Quảng Nam Nguyễn Phúc Tần cửu vi triều mệnh phụ cố bất phục cáo tế vu thiên địa thần chi thanh tội trí thảo	
命 副 都 将 太 傅 莅 郡 公 鄭 棟 爲 統 領 預 徃 乂 安 屯 鎮 協 與 統 率 少 尉 當 郡 公 陶 光 饒 䂓 料 布 置 控 制 邊 方	Mệnh Phó đô tướng Thái phó Li quận công Trịnh Đống vi Thống lĩnh dự vãng Nghệ An đồn trấn hiệp dữ thống suất Thiếu uý Đương quận công Đào Quang Nhiêu quy liệu bố trí khống chế biên phương	
以 范 質 爲 大 理 寺 卿	Dĩ Phạm Chất vi Đại Lí tự khanh	
五 月 鎮 守 乂 安 處 兼 鎮 布 政 州 統 率 官 左 匡 軍 營 副 将 少 尉 當 郡 公 陶 光 饒 卒	Ngũ nguyệt trấn thủ Nghệ An xứ kiêm trấn Bố Chính châu Thống suất quan Tả khuông quân doanh phó tướng Thiếu uý Đương quận công Đào Quang Nhiêu tốt	
光 饒 奉 侍 王 潜 邸 日 久 累 期 討 賊 安 内 靖 外 多 有 勳 勞 在 鎮 凣 十 八 年 令 行 禁 止 盗 賊 屏 息 邊 陲 晏 然 年 七 十 一 卒 于 鎮	Quang Nhiêu phụng thị Vương tiềm để nhật cửu luỵ kì thảo tặc an nội tịnh ngoại đa hữu huân lao tại trấn phàm thập bát niên lệnh hành cấm chỉ đạo tặc bình tức biên thuỳ yến nhiên niên thất thập nhất tốt vu trấn	
贈 太 宰 賜 諡 純 謹 褒	Tặng Thái tể tứ thuỵ Thuần Cẩn	
封 爲 福 神 立 祠 享 祀	phong vi phúc thần lập từ hưởng tự	
光 饒 青 威 泉 甘 人	Quang Nhiêu Thanh Oai Tuyền Cam nhân	
六 月 王 親 扶 皇 上 御 駕 親 征	Lục nguyệt Vương thân phù Hoàng thượng ngự giá thân chinh	
委 節 制 太 尉 宜 國 公 鄭 根 總 提 大 兵 直 進 廣 南 順 化 地 方	Uỷ Tiết chế Thái uý Nghi quốc công Trịnh Căn tổng đề đại binh trực tiến Quảng Nam Thuận Hoá địa phương	
時 御 駕 南 征 寬 郡 公 武 公 俊 在 京 遁 歸 宣 光 攻 刼 州 民	Thời Ngự giá Nam chinh Khoan quận công Vũ Công Tuấn tại kinh độn quy Tuyên Quang công kiếp châu dân	
留 守 京 城 少 傅 殿 郡 公 鄭 楃 差 兵 追 殺 之 盡 獲 其 黨 而 還	Lưu thủ kinh thành Thiếu phó Điện quận công Trịnh Ốc sai binh truy sát chi tận hoạch kì đảng nhi hoàn	
副 将 少 尉 羙 郡 公 鄭 桓 卒	Phó tướng thiếu uý Mĩ quận công Trịnh Hoàn tốt	
贈 太 保	Tặng Thái bảo	
工 部 尙 書 少 保 錦 郡 公 致 仕 阮 厚 眷 卒 年 九 十 五	Công bộ Thượng thư Thiếu bảo Cẩm quận công trí sĩ Nguyễn Hậu Quyến tốt niên cửu thập ngũ	
加 贈 户 部 尙 書 賜 諡 文 斗	Gia tặng Hộ bộ Thượng thư tứ thuỵ Văn Đẩu	
厚 眷 至 灵 樂 山 人	Hậu Quyến Chí Linh Lạc Sơn nhân	
秋 閏 八 月 大 軍 進 到 布 政 州 差 諸 将 分 道 進 討	Thu nhuận bát nguyệt đại quân tiến đáo Bố Chính châu sai chư tướng phân đạo tiến thảo	
節 制 太 尉 宣 國	Tiết chế Thái uý Tuyên quốc	
公 鄭 根 親 率 大 兵 渡 河 放 曉 諭 于 順 化 廣 南 二 處 民 人 曰 伐 罪 救 民 乃 王 者 興 師 之 義	công Trịnh Căn thân suất đại binh độ hà phóng hiểu dụ vu Thuận Hoá Quảng Nam nhị xứ dân nhân viết Phạt tội cứu dân nãi Vương giả hưng sư chi nghĩa	
爾 之 二 處 人 民 本 是 皇 朝 聖 祖 神 宗 之 土 地 人 民 非 阮 氏 開 拓 之 所 有	Nhĩ chi nhị xứ nhân dân bản thị hoàng triều Thánh Tổ Thần Tông chi thổ địa nhân dân phi Nguyễn thị khai thác chi sở hữu	
仰 荷 先 聖 王 念 及 莩 葭 之 親 奏 知 先 皇 帝 准 許 端 國 公 鎮 守 二 處 供 納 貢 税 以 資 國 用 指 誓 天 地 期 以 始 終 盡 節 爲 臣	Ngưỡng hà tiên thánh vương niệm cập phu gia chi thân tấu tri tiên hoàng đế chuẩn hứa Đoan quốc công trấn thủ nhị xứ cúng nạp cống thuế dĩ tư quốc dụng chỉ thệ thiên địa kì dĩ thuỷ chung tận tiết vi thần	
于 時 光 聖 王 志 厲 恢 復 皇 家 勦 除 僞 莫 端 國 公 居 在 外 鎮 曾 無 汗 馬 守 功 及 天 下 大 定 始 赴 京 拜 賀	Vu thời Quang Thánh Vương chí lệ khôi phục hoàng gia tiễu trừ nguỵ Mạc Đoan quốc công cư tại ngoại trấn tăng vô hãn mã thủ công cập thiên hạ đại định thuỷ phó kinh bái hạ	
先 聖 王 量 廣 含 弘 不 叙 勳 勞 止 以 親 義 仍 具 本 加	Tiên thánh vương lượng quảng hàm hoằng bất tự huân lao chỉ dĩ thân nghĩa những cụ bản gia	
以 職 爵 寵 禄 優 厚 位 冠 廷 臣	dĩ chắc tước sủng lộc ưu hậu vị quán đình thần	
不 意 違 皆 約 盟 隂 圖 反 側 於 庚 子 年 誘 使 姦 臣 作 亂 私 自 迯 回 有 乖 臣 節 正 當 裁 之 以 法	Bất ý vi giai ước minh âm đồ phản trắc ư Canh Tí niên dụ sử gian thần tác loạn tư tự đào hồi hữu quai thần tiết chính đương tài chi dĩ pháp	
先 聖 王 憐 愛 曲 容 宥 其 過 失	Tiên Thánh vương lân ái khúc dung hựu kì quá thất	
况 差 官 賫 捧 勑 書 曉 誘 事 理 而 焚 毀 使 舘 圖 奪 勑 書 隂 辱 使 命	Huống sai quan tê bổng sắc thư hiểu dụ sự lí nhi phàn huỷ sứ quán đồ đoạt sắc thư âm nhục sứ mệnh	
其 不 軌 之 心 以 萌 於 此	Kì bất quỹ chi tâm dĩ manh ư thử	
自 後 循 習 畧 不 必 言	Tự hậu tuần tập lược bất tất ngôn	
上 年 差 官 賫 諭 曉 以 君 臣 大 義 示 以 禍 福 两 端 欲 彼 革 心 歸 命 以 免	Thượng niên sai quan tê dụ hiểu dĩ quân thần đại nghĩa thị dĩ hoạ phúc lưỡng đoan dục bỉ cách tâm quy mệnh dĩ miễn	
爾 民 兵 戈 之 苦 共 享 太 平 之 福	Nhĩ dân binh qua chi khổ cộng hưởng thái bình chi phúc	
詎 料 彼 孽 不 能 覺 悟 更 驕 慢 辭 説 拒 遏 欽 命 行 人	Cự liệu bỉ nghiệt bất năng giác ngộ cánh kiêu mạn từ thuyết cự át khâm mệnh hành nhân	
其 叛 逆 不 敬 之 罪 孰	Kì phản nghịch bất kính chi tội thục	
甚 於 此	thậm ư thử	
夫 土 乃 王 土 民 乃 王 民 彼 之 竊 據 此 土 者 不 知 是 何 名 而 深 溝 髙 壘 以 逆 命 厚 賦 重 斂 以 虐 民 脇 爾 以 執 㦸 執 戈 何 有 乎 班 聯 職 秩 致 爾 失 學 書 學 禮 何 有 乎 科 目 功 名 迹 其 所 爲 旣 負 固 作 逆 又 拒 我 朝 廷 再 茶 毒 我 方 民 彼 之 罪 惡 如 此 容 可 置 而 不 問 乎 民 之 倒 懸 如 此 容 何 恬 而 不 救 乎 事 非 得 已 兵 征 言 興	Phu thổ nãi vương thổ dân nãi vương dân bỉ chi thiết cứ thử thổ giả bất tri thị hà danh hiệu nhi thâm cấu cao luỹ dĩ nghịch mệnh hậu phú trọng liễm dĩ ngược dân Hiếp nhĩ dĩ chấp kích chấp qua hà hữu hồ ban liễn chức trật trí nhĩ thất học thư học lễ hà hữu hồ khoa mục công danh Tích kì sở vi ký phụ cố tác nghịch hựu cự ngã triều đình tái trà độc ngã phương dân bỉ chi tội ác như thử dung khả trí nhi bất vấn hồ Dân chi đảo huyền như thử dung hà điềm nhi bất cứu hồ Sự phi đắc dĩ binh chinh ngôn hưng	
兹 我 恭 奉 大 元 帥 統 國 政 尙 師 太 父 德 功 仁 威 明 聖 西 王 翊 扶 皇 上 飭 駕 親 征 專 委 我 以 總 提 大 兵 號 令 諸	Tư ngã cung phụng Đại nguyên soái thống quốc chính thượng sư Thái phụ đức công nhân uy minh thánh Tây Vương dực phù Hoàng thượng sức giá thân chinh chuyên uỷ ngã dĩ Tổng đề đại binh hiệu lệnh chư	
将 分 道 進 討 期 以 萬 全 取 勝 盡 殄 逆 徒 而 後 以	tướng phân đạo tiến thảo kì dĩ vạn toàn thủ thắng tận điển nghịch đồ nhi hậu dĩ	
爾 二 處 人 等 倘 能 倍 暗 向 明 歸 人 避 虐 或 倒 前 戈 以 投 降 或 詣 軍 門 而 出 首 名 目 則 赦 過 賞 功 小 民 則 輕 徭 薄 賦 倘 或 别 處 人 民 畏 罪 而 逃 有 爲 賊 所 誘 竄 居 于 此 如 見 大 兵 進 至 先 來 歸 命 亦 得 赦 過 録 用 若 執 迷 不 悟 則 火 炎 崑 崗 玉 石 俱 焚	Nhĩ nhị xứ nhân đẳng thảng năng bồi ám hướng minh quy nhân tị ngược hoặc đảo tiền qua dĩ đầu hàng hoặc nghệ quân môn nhi xuất thủ danh mục tắc xá quá thưởng công tiểu dân tắc khinh dao bạc phú thảng hoặc biệt xứ nhân dân uý tội nhi đào hữu vi tặc sở dụ thoán cư vu thử như kiến đại binh tiến chí tiên lai quy mệnh diệc đắc xá quá lục dụng nhược chấp mê bất ngộ tắc hoả viêm Côn Cương ngọc thạch cụ phàn	
到 此 時 節 爾 等 将 安 迯 乎	Đáo thử thời tiết nhĩ đẳng tương an đào hồ	
特 諭	Đặc dụ	
冬 十 一 月 統 率 黎 時 憲 督 本 道 官 兵 直 進 賊 外 壘 差 所 属 僉 掌 侯 梁 登 光 禎 祥 侯 武 俊 材 承 夜 奪 戰 賊	Đông thập nhất nguyệt Thống suất Lê Thời Hiến đốc bản đạo quan binh trực tiến tặc ngoại luỹ sai sở thuộc Thiêm Chưởng hầu Lương Đăng Quang Trinh Tường hầu Vũ Tuấn Tài thừa dạ đoạt chiến tặc	
徒 于 多 吝 處 燒 毀 賊 寨 斬 得 賊 馘 收 得 賊 旗 幟 噐 械 調 詣 軍 門 獻 納	đồ vu Đa Lận xứ thiêu huỷ tặc trại trảm đắc tặc quắc thu đắc tặc kì xí khí giới điều nghệ quân môn hiến nạp	
以 梁 登 光 爲 參 督 武 俊 材 爲 提 督 賞 其 能 先 登 破 賊 也	Dĩ Lương Đăng Quang vi Tham đốc Vũ Tuấn Tài vi Đề đốc thưởng kì năng tiên đăng phá tặc dã	
副 将 都 督 同 知 衛 郡 公 鄭 梐 卒	Phó tướng Đô đốc đồng tri Vệ quận công Trịnh Bệ tốt	
贈 少 保	Tặng Thiếu bảo	
十 二 月 王 以 順 化 地 濕 又 値 降 冬 寒 凍 士 卒 難 久 留 遂 奏 知 于 帝 還 師	Thập nhị nguyệt Vương dĩ Thuận Hoá địa thấp hựu trị giáng đông hàn đông sĩ tốt nan cửu lưu toại tấu tri vu Đế hoàn sư	
凣 俘 獲 賊 人 男 女 老 少 皆 給 錢 米 𤼵 回	Phàm phù hoạch tặc nhân nam nữ lão thiếu giai cấp tiền mễ phát hồi	
命 副 将 少 尉 豪 郡 公 黎 時 憲 鎮 守 乂 安 處 兼 鎮 布 政 州 陪 從 兵 部 左 侍 郎 桂 海 侯 黎 仕 澈 爲 督 視 陪 從 兵 部 右 侍 郎 海 山 男 阮 名 實 爲 副 督 視	Mệnh Phó tướng Thiếu uý Hào quận công Lê Thời Hiến trấn thủ Nghệ An xứ kiêm trấn Bố Chính châu Bồi tụng Binh bộ Tả thị lang Quế Hải hầu Lê Sĩ Triệt vi Đốc thị Bồi tụng Binh bộ Hữu thị lang Hải Sơn nam Nguyễn Danh Thực vi Phó đốc thị	
追 贈 南 征 陣 亡 将 士 職 爵 田 禄 有 差	Truy tặng Nam chinh trận vong tướng sĩ chức tước điền lộc hữu sai	
癸 丑 二 年 清 康 熙 十 二 年 春 正 月 車 駕 至 京 師	Quý Sửu nhị niên Thanh Khang Hi thập nhị niên xuân chính nguyệt xa giá chí kinh sư	
命 阮 廷 正 裴 廷 員 黎 公 朝 等 徃 闕 上 候 命	Mệnh Nguyễn Đình Chính Bùi Đình Viên Lê Công Triều đẳng vãng khuyết thượng hậu mệnh	
三 月 遣 正 使 阮 荗 材 胡 士 揚 副 使 陶 公 正 武 公 道 武 惟 諧 等 二 部 如 清 歲 貢 附 告 哀 事	Tam nguyệt khiến Chính sứ Nguyễn Mậu Tài Hồ Sĩ Dương Phó sứ Đào Công Chính Vũ Công Đạo Vũ Duy Hài đẳng nhị bộ như Thanh tuế cống phụ cáo ai sự	
賜 參 督 膠 璿 侯 陶 登 用 郡 公 爵	Tứ Tham đốc Giao Toàn hầu Đào Đăng Dụng quận công tước	
以 潘 兼 全 爲 史 部 左 侍 郎 阮 國 櫆 爲 户 部 左 侍 郎 范 質 爲 副 都 御 史 申 全 爲 史 部 右 侍 郎 黎 榮 爲 户 部 右 侍 郎 阮 廷	Dĩ Phan Kiêm Toàn vi Sử bộ Tả thị lang Nguyễn Quốc khôi vi Hộ bộ Tả thị lang Phạm Chất vi Phó đô ngự sử Thân Toàn vi Sử bộ hữu thị lang Lê Vinh vi Hộ bộ Hữu thị lang Nguyễn Đình	
控 御 邊 陲 保 安 方 民	khống ngự biên thuỳ bảo an phương dân	
正 爲 禮 部 右 侍 郎 武 良 爲 刑 部 右 侍 郎 裴 廷 員 爲 工 部 右 侍 郎	Chính vi Lễ bộ Hữu thị lang Vũ Lương vi Hình bộ Hữu thị lang Bùi Đình Viên vi Công bộ Hữu thị lang	
以 同 存 澤 爲 兵 部 左 侍 郎	Dĩ Đồng Tồn Trạch vi Binh bộ Tả thị lang	
先 是 存 澤 任 御 史 勘 訟 逾 期 罷 職 至 是 復 用 之	Tiên thị Tồn Trạch nhiệm Ngự sử đài khám tụng du kì bãi chức chí thị phục dụng chi	
秋 七 月 起 復 參 從 史 部 尙 書 兼 東 閣 大 學 士 國 老 參 預 朝 政 太 保 燕 郡 公 致 仕 范 公 著 入 朝 掌 六 部 事 參 賛 機 務	Thu thất nguyệt khởi phục Tham tụng Sử bộ Thượng thư kiêm Đông các Đại học sĩ quốc lão Tham dự triều chính Thái bảo Yên quận công trí sĩ Phạm Công Trứ nhập triều chưởng lục bộ sự Tham tán cơ vụ	
令 文 官 入 王 府 内 閣 議 事 奉 侍 内 閣 自 是 始	Lệnh văn quan nhập Vương phủ nội các nghị sự phụng thị nội các tự thị thuỷ	
九 月 陶 光 輝 有 罪 伏 誅	Cửu nguyệt Đào Quang Huy hữu tội phục tru	
光 輝 乃 光 饒 之 子 籍 父 功 隂 蒙 加 職 爵 權 禄 配 以 郡 主 而 乃 驕 弄 自 恣 多 行 悖 逆 不 道 又 隂 營	Quang Huy nãi Quang Nhiêu chi tử tịch phụ công âm mông gia chức tước quyền lộc phối dĩ Quận chúa nhi nãi kiêu lộng tự tư đa hành bột nghịch bất đạo hựu âm doanh	
居 禁 地	cư cấm địa	
有 訴 告 事 𤼵 付 廷 臣 議 盡 得 情 状 論 梟 首 以 正 條 律	Hữu tố cáo sự phát phó đình thần nghị tận đắc tình trạng luận kiêu thủ dĩ chính điều luật	
王 念 彼 父 多 有 功 勞 於 國 降 賜 絞 死 併 誅 其 黨 兼 禄 侯 鄭 楏	Vương niệm bỉ phụ đa hữu công lao ư quốc giáng tứ giảo tử tính tru kì đảng Kiêm Lộc hầu Trịnh khuê	
鄕 試 各 處 士 人	Hương thí các xứ sĩ nhân	
是 時 清 華 處 參 政 武 求 誨 多 受 銀 錢 寄 托 士 人 爲 肆 塲 奉 天 府 尹 吳 策 論 應 務 試 塲 潜 将 文 書 入 塲 私 使 家 大 寫 試 卷 混 送 入 考 取 中 䂓 取 錢 財	Thị thời Thanh Hoa xứ Tham chính Vũ Cầu Hối đa thụ ngân tiền ký thác sĩ nhân vi tứ trường Phụng Thiên phủ doãn Ngô Sách luận ứng vụ thí trường tiềm tương văn thư nhập trường tư sử gia nhân đại tả thí quyển hỗn tống nhập khảo thủ trung quy thủ tiền tài	
事 覺 並 加 徒 刑	Sự giác tịnh gia đồ hình	
山 西 處 參 政 黎 志 道 私 考 士 人 失 實 又 於 塲 中 以 無 中 卷 標 名 中 榜 及 多 寄 托 士 人 爲 肆 塲 論 罷 職	Sơn Tây xứ Tham chính Lê Chí Đạo tư khảo sĩ nhân thất thực hựu ư trường trung dĩ vô trúng quyển tiêu danh trung bảng cập đa ký thác sĩ nhân vi tứ trường luận bãi chức	
其 各 府 縣 校 僃 類 士 人	Kì các phủ huyện hiệu bị loại sĩ nhân	
得 實 者 奬 賞 失 實 者 貶 罰 各 有 差	đắc thực giả tưởng thưởng thất thực giả biếm phạt các hữu sai	
冬 十 一 月 會 試 天 下 貢 士	Đông thập nhất nguyệt Hội thí thiên hạ cống sĩ	
取 合 格 阮 公 望 等 五 名	Thủ hợp cách Nguyễn Công Vọng đẳng ngũ danh	
及 殿 試 賜 裴 光 運 等 並 同 進 士 出 身	Cập Điện thí tứ Bùi Quang Vận đẳng tịnh đồng tiến sĩ xuất thân	
十 二 月 考 天 下 士 望	Thập nhị nguyệt khảo thiên hạ Sĩ vọng	
取 阮 洐 等 三 十 名 除 内 外 任 名 職	Thủ Nguyễn hành đẳng tam thập danh trừ nội ngoại nhiệm danh chức	
罷 參 從 宰 相 刑 部 尙 書 芳 桂 侯 黎 斅 東 閣 校 書 梅 林 子 張 論 道 等 職 爵	Bãi Tham tụng Tể tướng Hình bộ Thượng thư Phương Quế hầu Lê Hiệu Đông các hiệu thư Mai Lâm tử Trương Luận Đạo đẳng chức tước	
貶 吏 部 左 侍 郎 瑞 郡 公 潘 兼 全 爲 太 常 寺 卿 侯 爵 兵 部 左 侍 郎 桂 海 侯 黎 仕 澈 爲 諒 山 處 憲 察 使 職 伯 爵 以 其 便 許 勑 旨 并 憑 批 各 衙 門 吏 應 務 間 有 多 少 故 也	Biếm Lại bộ Tả thị lang Thuỵ Quận công Phan Kiêm Toàn vi Thái thường tự khanh hầu tước Binh bộ Tả thị lang Quế Hải hầu Lê Sĩ Triệt vi Lạng Sơn xứ Hiến sát sứ chức bá tước dĩ kì tiện hứa sắc chỉ tịnh bằng phê các nha môn lại ứng vụ gian hữu đa thiểu cố dã	
以 阮 國	Dĩ Nguyễn Quốc	
櫆 爲 吏 部 左 侍 郎 阮 曰 庶 爲 吏 科 都 給 事 中	khôi vi Lại bộ Tả thị lang Nguyễn Viết Thứ vi Lại khoa đô cấp sự trung	
參 從 宰 相 兵 部 尙 書 川 郡 公 陳 登 選 卒	Tham tụng Tể tướng Binh bộ Thượng thư Xuyên quận công Trần Đăng Tuyển tốt	
登 選 爲 人 沉 毅 端 正 學 識 該 搏 南 征 之 舉 參 賛 軍 務 籌 畫 有 功	Đăng Tuyển vi nhân trầm nghị đoan chính học thức cai bác Nam chinh chi cử tham tán quân vụ trù hoạch hữu công	
至 是 卒 贈 户 部 尙 書 少 保 賜 謚 雅 量	Chí thị tốt tặng Hộ bộ Thượng thư Thiếu bảo tứ thuỵ Nhã Lượng	
登 選 安 勇 黄 梅 人	Đăng Tuyển Yên Dũng Hoàng Mai nhân	
陪 從 兵 部 尙 書 少 保 頴 郡 公 致 仕 阮 悌 卒	Bồi tụng Binh bộ Thượng thư Thiếu bảo Dĩnh quận công trí sĩ Nguyễn Đễ tốt	
贈 户 部 尙 書 少 傅	Tặng Hộ bộ Thượng thư Thiếu phó	
賜 謚 惠	Tứ thuỵ Huệ Ngu	
悌 玉 山 禾 塲 人 甲 寅 三 年 十 月 以 後 改 德 元 元 年 清 康 熙 十 三 年 春 二 月 令 旨 訓 戒 各 職 司	Đễ Ngọc Sơn Hoà Trường nhân Giáp Dần tam niên thập nguyệt dĩ hậu cải Đức Nguyên nguyên niên Thanh Khang Hi thập tam niên xuân nhị nguyệt lệnh chỉ huấn giới các chức ti	
大 畧 以 爲 宰 相 之 職 在 乎 進 賢 退 不 肖 當 量 才 授 官 度 德 定 立 使 卿 大 夫 各 當 其 任 不	Đại lược dĩ vi Tể tướng chi chức tại hồ tiến hiền thoái bất tiêu đương lượng tài thụ quan độ đức định lập sử khanh đại phu các đương kì nhiệm bất	
得 以 私 心 自 用	đắc dĩ tư tâm tự dụng	
吏 部 之 職 在 乎 權 衡 人 物 當 察 言 行 觀 噐 識 可 爲 京 官 者 除 京 官 堪 爲 守 令 者 銓 守 令 不 可 徇 私 取 舍	Lại bộ chi chức tại hồ quyền hoành nhân vật đương sát ngôn hành quan khí thức khả vi kinh quan giả trừ kinh quan kham vi thủ lệnh giả thuyên thủ lệnh bất khả tuân tư thủ xá	
刑 部 襨 視 之 官 如 見 重 囚 付 下 襨 議 合 公 同 審 讞 務 以 得 情 爲 本 不 得 滯 逾 期	Hình bộ phức thị chi quan như kiến trọng tù phó hạ phức nghị hợp công đồng thẩm nghiện vụ dĩ đắc tình vi bản bất đắc kê đái du kì	
御 史 耳 目 之 任 所 以 振 紀 綱 而 警 風 采	Ngự sử nhĩ mục chi nhiệm sở dĩ chấn kỷ cương nhi cảnh phong thái	
凣 宰 執 有 過 将 臣 有 失 百 司 違 法 時 政 有 闕 並 許 糾 劾 陳 言	Phàm Tể chấp hữu quá tướng thần hữu thất bách ti vi pháp thời chính hữu khuyết tịnh hứa kiểu hặc trần ngôn	
提 刑 監 察 御 史 職 專 諍 論 審 讞 案 問 糾 劾 察 録 照 刷 等 事	Đề hình giám sát ngự sử chức chuyên tranh luận thẩm nghiện án vấn kiểu hặc sát lục chiếu xoát đẳng sự	
監 察 御 史 彈 劾 之 責 如 見 時 政 有 闕 百 官 有 過 當 陳 言 糾 劾	Giám sát ngự sử đàn hặc chi trách như kiến thời chính hữu khuyết bách quan hữu quá đương trần ngôn kiểu hặc	
吏 科 繳	Lại khoa chước	
駁 之 任 如 見 吏 部 銓 序 非 才 則 論 駁 封 還	bác chi nhiệm như kiến Lại bộ thuyên tự phi tài tắc luận bác phong hoàn	
刑 部 亦 繳 駁 之 任 如 見 刑 部 審 讞 不 公 亦 論 駁 封 還	Hình bộ diệc chước bác chi nhiệm như kiến Hình bộ thẩm nghiện bất công diệc luận bác phong hoàn	
