國 之 有 史 尙 矣	Nước có sử đã từ lâu	
史 臣 吳 士 連 曰 人 臣 篡 弑 而 免 罪 失 刑 政 矣 盖 帝 崇 佛 之 過 也	Sử thần Ngô Sĩ Liên nói Kẻ làm tôi phạm tội giết vua cướp ngôi mà được miễn tội chết thế là sai trong việc hình lỗi ở vua tin sùng đạo Phật	
丁 丑 六 年 宋 紹 聖 四 年	Đinh Sửu năm thứ sáu Tống Thiệu Thánh	
春 正 月 詔 檢 定 諸 例 倣 依 故 典	Mùa xuân tháng giêng xuống chiếu kiểm định các lệ đều phỏng theo các điển cũ	
秋 八 月 星 晝 見	Mùa Thu tháng tám sao mọc ban ngày	
時 天 下 豐 登 太 后 多 興 造 佛 寺	Bấy giờ trong nước giàu đủ Thái hậu làm nhiều chùa Phật	
戊 寅 七 年 宋 元 符 元 年	Mậu Dần năm thứ bảy Tống Nguyên Phù	
秋 八 月 地 震	Mùa Thu tháng tám động đất	
彗 星 見	Sao Chổi hiện ra	
己 卯 八 年 宋 元 符 二 年	Kỷ Mão năm thứ tám Tống Nguyên Phù	
神 龍 降 于 梅	Rồng thần hiện xuống ở cây mai	
庚 辰 九 年 宋 元 符 三 年	Canh Thìn năm thứ chín Tống Nguyên Phù	
冬 十 二 月 大 疫	Mùa Đông tháng mười hai bệnh dịch lớn	
辛 巳 龍 符 元 年 宋 徽 宗 佶 建 中 靖 國 元 年	Tân Tỵ Long Phù năm thứ một Tống Huy Tông Cát Kiến Trung Tĩnh Quốc năm thứ một	
春 正 月 改 元 以 太 尉 李 常 傑 兼 内 侍 判 首 都 押 衙 行 殿 内 外 都 知 事	Mùa xuân tháng giêng đổi niên hiệu Cho Thái uý Lý Thường Kiệt kiêm chức Nội thị phán thủ đô áp nha hành điện nội ngoại đô tri sự	
修 延 祐 寺	Sửa chùa Diên Hựu	
壬 午 二 年 宋 崇 寧 元 年	Nhâm Ngọ năm thứ hai Tống Sùng Ninh	
春 正 月 立 春 日 瑞 雪 降	Mùa xuân tháng giêng ngày Lập xuân tuyết lành xuống	
二 月	Tháng hai	
大 水	Nước to	
命 皇 后 妃 嬪 齋 戒 設 醮 祈 嗣	Sai Hoàng hậu và các phi tần trai giới lập đàn chay để cầu tự	
癸 未 三 年 宋 崇 寧 二 年	Quý Mùi năm thứ ba Tống Sùng Ninh	
春 太 后 發 内 府 錢 贖 貧 家 女 之 典 命 者 嫁 夫	Mùa xuân Thái hậu phát tiền ở kho Nội phủ để chuộc những con gái nhà nghèo đã phải bàn đi ở đem gã cho những người goá vợ	
史 臣 吳 士 連 曰 女 貧 而 至 於 雇 賃 男 貧 而 至 於 無 妻 天 下 之 窮 民 也	Sử thần Ngô Sĩ Liên nói Con gái nhà nghèo đến phải cầm thân làm mướn con trai nhà nghèo đến nỗi không có vợ đó là cùng dân trong thiên hạ	
太 后 爲 之 造 命 亦 仁 政 之 所 施 也	Thái hậu đổi đời cho họ cũng là việc làm nhân chính vậy	
冬	Mùa Đông	
十 月 演 州 人 李 覺 謀 反	Tháng mười người Diễn Châu là Lý Giác mưu làm phản	
初 覺 學 得 其 術 變 木 爲 人 招 集 亡 賴 據 本 州 築 城 作 亂	Giác trước học được thuật lạ có thể biến cây cỏ làm người bèn chiêu tập những kẻ vô lại chiếm cứ châu ấy đắp thành làm loạn	
事 聞 命 李 常 傑 等 討 之	Việc tâu lên vua sai bọn Lý Thường Kiệt đi đánh	
敗 出 亡 占 城 餘 黨 悉 平	Giác thua trốn sang Chiêm Thành dư đảng đều bị dẹp yên	
占 城 寇	Chiêm Thành cướp	
邊	Biên giới	
甲 申 四 年 宋 崇 寕 三 年	Giáp Thân năm thứ bốn Long Phù	
春 二 月 命 李 常 傑 伐 占 城	Mùa xuân tháng hai sai Lý Thường Kiệt đi đánh Chiêm Thành	
初 李 亡 占 城 言 中 國 虚 實	Giác trước học được thuật lạ có thể biến cây cỏ làm người bèn chiêu tập những kẻ vô lại chiếm cứ châu ấy đắp thành làm loạn	
占 城 主 制 麻 那 因 之 入 寇 復 取 制 矩 所 献 地 哩 等 三 州	Vua Chiêm Thành là Chế Ma Na nhân thế đem quân vào cướp lấy lại ba châu Địa Lý vv mà Chế Củ đã dâng	
至 是 命 李 常 傑 擊 破 之 制 麻 那 復 納 其 地	Đến đây sai Lý Thường Kiệt đi đánh phá được Chế Ma Na lại dâng nộp đất ấy	
三 月 復 定 禁 衞 兵 號	Tháng ba định lại binh hiệu của quân cấm vệ	
乙 酉 五 年 宋 崇 寕 四 年	Ất Dậu năm thứ năm Long Phù	
春 祠 髙 禖	Mùa xuân cúng thần Cao Môi	
夏 六 月 太 尉 李 常 傑 卒 贈 入 内 殿 都 知 檢 校 太 尉 平 章 軍 國 重 事 越 國 公 食 邑 萬 户 以 弟 李 常 憲 繼 封 候 爵	Mùa hạ tháng sáu Thái uý Lý Thường Kiệt chết tặng chức Nhập nội điện đô tri kiểm hiệu thái uý bình chương quân quốc trọng sự tước Việt quốc công thực ấp một vạn hộ cho người em là Lý Thường Hiến được kế phong tước hầu	
常 傑 升 龍 太 和 坊 人 世 襲 簪 笏 多 謀 略 有 將 才 少 以 姿 貌 揚 逸 充 皇 門 祇 候 侍 太 宗 累 迁 内 侍 省 都 知 聖 宗 拜 太 保 授 節	Thường Kiệt người phường Thái Hoà thành Thăng Long nối đời làm quan nhiều mưu lược có tài làm tướng Khi còn ít tuổi vì vẻ mặt tươi đẹp được sung làm Hoàng môn chi hậu theo hầu Thái Tông thăng dần đến chức Nội thị sảnh đô tri Thánh Tông phong chức Thái bảo trao cho	
鉞 經 訪 清 化 乂 安 吏 民 及 親 征 占 城 以 爲 前 鋒 將 得 獲 占 主 制 矩 以 公 拜 輔 國 太 傅 遙 授 諸 鎮 節 度 同 中 書 門 下 上 柱 國 天 子 義 弟 輔 國 上 将 軍 開 國 公 復 以 公 拜 太 尉 卒	Việt để đi thăm hỏi lại dân ở Thanh Hoá Nghệ An Đến khi vua thân đi đánh Chiêm Thành ấy làm tướng tiên phong bắt được vua Chiêm là Chế Củ Vì có công được phong làm Phụ quốc thái phó dao thụ chư trấn tiết độ đồng trung thư môn hạ thượng trụ quốc thiên tử nghĩa đệ phụ quốc thượng tướng quân tước Khai quốc công sau lại có công nữa được phong làm Thái uý rồi chết	
秋 九 月 作 白 薨 㙮 於 延 祐 寺 二 作 石 薨 㙮 於 覧 山 寺 三	Mùa thu tháng chín làm hai ngọn tháp chỏm trắng ở chùa Diên Hựu ba ngọn tháp chỏm đá ở chùa Lãm Sơn	
時 帝 重 修 延 祐 寺 增 於 舊 貫 浚 蓮 花 臺 池 名 曰 靈 沼 池	Bấy giờ vua sửa lại chùa Diên Hựu đẹp hơn cũ đào hồ Liên Hoa Đài gọi là hồ Linh Chiểu	
池 之 外 繚 以 畫 廊 廊 之 外 又 疏 碧 池 並 架 橋 以 通 之	Ngoài hồ có hành lang chạm vẽ chạy chung quanh ngoài hành lang lại đào hồ gọi là hồ Bích Trì đều bắc cầu vồng để đi qua	
庭 前 立 寳 㙮	Trước sân chùa xây bảo tháp	
以 月 之 朔 望 及 夏 之 四 月 八 日 車 駕 臨 幸 設 祈 祚 之 儀 陳 浴 佛 之 式 歲 以 爲 常	Hàng tháng cứ ngày rằm mồng một và mùa hạ ngày mồng tám tháng bốn xa giá ngự đến đặt lễ cầu phúc bày nghi thức tắm Phật hàng năm lấy làm lệ thường	
丙 戌 六 年 宋 崇 寕 五 年	Bính Tuất năm thứ sáu Long Phù	
春 正 月 彗 星 見 西 方 長 竟 天	Mùa xuân tháng giêng sao Chổi mọc ở Phương Tây đuôi dài khắp trời	
太 白 晝 見	Sao Thái Bạch hiện ban ngày	
赦 除 逆 黨 人	Xá tội và trừ khử các người phản loạn	
秋 大 熟	Mùa thu được mùa to	
日 重 輸	Mặt trời có hai quầng	
壬 辰 三 年 宋 正 和 二 年	Nhâm Thìn năm thứ ba Hội Tường Đại Khánh Tống Chính Hoà năm thứ hai	
春 甘 露 降	Mùa xuân móc ngọt xuống	
占 城 献 白 象	Chiêm Thành dâng voi trắng	
時 帝 春 秋 以 高 無 嗣 詔 擇 宗 室 子 立 爲 嗣 帝 弟 崇 賢 侯 鈌 名 亦 未 有 嗣	Bấy giờ vua tuổi đã nhiều mà chưa có con trai nối dõi xuống chiếu chọn con của tông thất để lập làm con nối Em vua là Sùng Hiền Hầu không rõ tên cũng chưa có con trai	
適 石 七 山 僧 徐 道 幸 至 侯 家 與 語 祈 嗣 事	Gặp lúc nhà sư núi Thạch Thất là Từ Đạo Hạnh đến chơi nhà hầu nói với Đạo Hạnh về việc cầu tự	
道 行 曰 他 日 夫 人 臨 誕 時 必 先 相 吿 盖 爲 之 祈 于 山 神 也	Đạo Hạnh dặn rằng Bao giờ phu nhân sắp đến ngày sinh thì báo cho tôi biết trước để cầu khấn với sơn thần	
後 三 年 夫 人 因 而 有 娠 生 男 陽 煥	Ba năm sau phu nhân có mang sinh con trai là Dương Hoán	
癸 巳 四 年 宋 正 和 三 年	Quý Tỵ năm thứ bốn Hội Tường Đại Khánh Tống Chính Hoà năm thứ ba	
夏 六 月 真 登 州 牧 夫 人 公 主 李 氏 薨	Mùa hạ tháng sáu phu nhân của châu mục châu Chân Đăng là công chúa họ Lý mất	
夫 人 名 玉 橋 奉 乾 王 長 子 聖 宗 鞠 于 宫 中 及 長 封 公 主 適 真 䔲 州 牧 黎 氏 卒 自 誓 孀 居 出 家 爲 尼 至 是 薨 年 七 十 有 三 神 宗 尊 爲 尼 師	Phu nhân tên là Ngọc Kiều con gái lớn của Phụng Càn Vương được Thánh Tông nuôi ở trong cung lớn lên phong làm chúa gả cho châu mục châu Chân Đăng là người họ Lê chồng chết phu nhân tự thề ở goá đi tu thành ni sư mất năm bảy mươi ba tuổi	
甲 午 五 年 宋 政 和 四 年	Giáp Ngọ năm thứ năm Hội Tường Đại Khánh Tống Chính Hoà năm thứ bốn	
春 瑞 雪 降	Mùa xuân tuyết điềm lành xuống	
乙 未 六 年 宋 政 和 五 年	Ất Mùi năm thứ sáu Hội Tường Đại Khánh Tống Chính Hoà năm thứ năm	
春 正 月 封 蘭 英 欽 天 震 寶 三 皇 后 三 十 六 宫 人	Mùa xuân tháng giêng phong ba hoàng hậu là Lan Anh Khâm Thiên Chấn Bảo và ba mươi sáu cung nhân	
時 帝 無 寺 故 多 立 皇 后 及 宫 人 設 醮 以 禱 之	Bấy giờ vua không có con trai cho nên lập nhiều hoàng hậu và cung nhân làm đàn chạy để cầu tự	
太 后 興 佛 寺 前 後 該 百 餘 所	Thái hậu dựng chùa thờ Phật trước sau hơn trăm chùa	
世 傳 后 追 悔 上 陽 及 其 侍 女 之 非 辜 多 起 寺 爲 之 懺 雪	Tục truyền rằng thái hậu hối về việc Thượng Dương thái hậu và các thị nữ vô tội mà bị chết làm nhiều chùa Phật để sám hối rửa oan	
丙 申 七 年 宋 政 和 六 年 夏 六 月 僧 徐 道 幸 尸 觧 於 石 室 山 寺 石 七 縣 名 即 今 之 寕 山 縣 名 跡 山 乃 徐 道 行 來 逰 時 見 山 洞 中 素 石 有 人 足 跡 道 行 以 其 足 跡 印 之 符 合 俗 傳 道 幸 尸 觧	Bính Thân năm thứ bảy Hội Tường Đại Khánh Tống Chính Hoà năm thứ sáu Mùa hạ tháng sáu nhà sư Từ Đạo Hạnh trút xác ở chùa núi Thạch Thất Thạch Thất là tên huyện tức là huyện Ninh Sơn ngày nay tên núi là Phật Tích Từ Đạo Hạnh đến chơi núi ấy thấy tảng đá trong hang núi có vết chân người lấy chân ướm vào vừa đúng tục truyền đó là chỗ Đạo Hạnh trút xác	
先 是 崇 賢 侯 夫 人 杜 氏 懷 娠 至 是 產 難	Trước là phu nhân của Sùng Hiền Hầu là Đỗ thị đã có mang đến đây trở dạ mãi không xong	
侯 追 念 道 行 前 日 之 言 使 人 馳 報	Hầu nhớ lại lời Đạo Hạnh trước đây sai người gấp báo tin	
道 行 即	Đạo Hạnh tức	
易 服 澡 身 入 巖 中 尸 觧 而 逝	Thay áo tắm rửa vào hang núi trút xác mà qua đời	
夫 人 尋 生 得 男 即 陽 焕 也	Sau đó phu nhân sinh con trai tức là Dương Hoán	
鄕 人 以 其 異 納 尸 中 奉 事 之	Người làng cho là việc lạ để xác Đạo Hạnh vào trong khám để thờ	
今 跡 山 是 其 處 也	Nay núi Phật Tích tức là chỗ ấy	
每 歲 春 三 月 七 日 士 女 會 于 寺 爲 一 方 勝 逰 後 人 訛 以 爲 僧 忌 日	Hàng năm mùa xuân cứ đền ngày mồng bảy tháng ba con trai con gái hội họp ở chùa là hội vui có tiếng một vùng	
其 尸 至 明 求 樂 年 間 爲 明 人 所 焚 鄕 人 再 塑 像 事 之 如 初 今 存	Người đời sau ngoa truyền là ngày giỗ của sư xác Đạo Hạnh đến khoảng năm Vĩnh Lạc nhà Minh bị người Minh đốt cháy người làng ấy lại đắp tượng lại thờ như cũ hiện nay vẫn còn	
丁 酉 八 年 宋 政 和 七 年	Đinh Dậu năm thứ tám Hội Tường Đại Khánh Tống Chính Hoà năm thứ bảy	
春 正 月 延 成 鈌 名	Mùa xuân tháng giêng Diên Thành hầu không rõ tên	
卒	Chết	
詔 藏 戲 及 開 賀 執 卓 仍 御 府 金 銀 前 帛 厚 賻 之	Xuống chiếu bãi trò chơi tàng câu và cỗ bàn khao mừng vẫn phát vàng bạc tiền lụa ở kho để phúng điếu việc tang rất hậu	
是 月 守 太 堂 人 献 白 鹿	Tháng ấy người giữ Thái Đường dâng hươu trắng	
甘 蔗 甲 人 献 玄 鹿	Người giáp Cam Giá dâng hươu đen	
二 月 甲 明 盗 殺 牛 令	Tháng hai định rõ lệnh cấm giết trộm trâu	
皇 太 后 曰 此 者 京 城 鄕 邑 人 多 迯	Hoàng thái hậu nói Gần đây ở kinh thành hương ấp có nhiều người trốn tránh	
亡 以 盗 牛 爲 業 百 姓 窮 窘 數 家 共 耕 一 牛	Lấy việc ăn trộm trâu làm nghề nghiệp trăm họ cùng quẫn mấy nhà cày chung một con trâu	
昨 嘗 以 爲 言 國 家 已 有 禁 令	Trước đây ta đã từng nói đến việc ấy nhà nước đã có lệnh cấm	
今 之 殺 牛 有 甚 徃	Nay giết trâu lại càng nhiều hơn trước	
時 帝 於 是 詔 諸 盗 殺 牛 扙 八 十 徒 甲 其 妻 杖 八 十 徒 桑 室 婦 并 償 其 牛 鄰 家 不 告 者 杖 八 十	Bấy giờ vua xuống chiếu kẻ nào mổ trộm trâu thì phạt tám mươi trượng đồ làm khao giáp vợ xử tám mươi trượng đồ làm tang thất phụ và bồi thường trâu Láng giềng biết mà không tố cáo phạt tám mươi trượng	
三 月 丙 辰 帝 幸 章 山 慶 成 萬 豐 成 善 寳 㙮	Tháng ba ngày Bính Thìn vua ngự đến núi Chương Sơn để khánh thành bảo tháp Vạn Phong Thành Thiện	
有 皇 龍 見	Có rồng vàng hiện	
又 幸 應 豐 今 義 興 之 行 宫 省 耕 公 田	Vua lại ngự đến hành cung Ứng Phong nay là phủ Nghĩa Hưng xem cày ruộng công	
夏 五 月 員 外 郎 吳 紹 献 夏 田 禾 一 莖 九 穗	Mùa hạ tháng năm Viên ngoại lang là Ngô Thiệu dâng cây lúa chiêm một gốc chín bông	
駙 馬 郎 楊 景 通 献 白 鹿	Phò mã lang là Dương Cảnh Thông dâng hươu trắng	
司 農 州 首 領 何 永 禄 献 赤 馬 生 距	Thủ lĩnh châu Tư Nông là Hà Vĩnh Lộc dâng con ngựa hồng có cựa	
音 岑	Sầm Tác Hoả đầu	
作 火 頭 黎 兵 曹 兒 並 献 白 禄	Tác Hoả đầu là Lê Binh và Tào Nhi cùng dâng hươu trắng	
直 邪 甲 人 献 白 麞	Người giáp Trực Tà dâng con hoẵng trắng	
六 月 帝 幸	Tháng sáu vua ngự đến hành cung	
誰 可 傳 宜 育 崇 賢 成 慶 成 廣 成 昭 成 興 侯 之 子 擇 其 善 者 立 之	Vậy nên trẫm nuôi con trai của các hầu Sùng Hiền Thành Khánh Thành Quảng Thành Chiêu Thành Hưng chọn người nào giỏi thì lập làm thái tử	
時 崇 賢 侯 子 陽 焕 年 方 二 歲 而 聰 敏 上 深 愛 之 遂 立 爲 皇 太 子	Bấy giờ con Sùng Hiền hầu là Dương Hoan mới lên hai tuổi mà thông minh lanh lợi vua rất yêu và bèn lập làm hoàng thái tử	
占 成 献 金 花 三 朶	Chiêm Thành dâng ba đoá hoa bằng vàng	
戊 戌 九 年 宋 重 禾 元 年	Mậu TuấtHội Tường Đại Khánh năm thứ chín Tống Trùng Hoà năm thứ một	
春 正 月 詔 民 兵 皇 男	Mùa xuân tháng giêng xuống chiếu chọn hoàng nam trong dân chúng và binh lính	
二 月 真 臘 國 使 朝 見	Tháng hai sử nước Chân lạp sang chầu	
設 春 筵 宴 禮 及 慶 成 七 寶 㙮	Đặt lễ yến tiệc mùa xuân và mở hội khánh thành bảy bảo tháp	
會 詔 有 司 僃 儀 仗 于 靈 光 殿 偕 引 使 觀 之	Bấy giờ xuống chiếu cho Hữu ty bày nghi trượng ở điện Linh Quang dẫn sứ giả đến xem	
三 月 以 大 黄 男 壯 勇 者 充 玉 階 興 聖 都 及 御 龍 兵 三 百 五 十 人	Tháng ba lấy các đại hoàng nam khoẻ mạnh sung vào làm binh các đội Ngọc Giai Hưng Thánh Vũ Đô và Ngự Long tất cả ba trăm năm mươi người	
户 部 左 侍 郎 李 秀 蠲 卒	Tả thị lang bộ Hộ là Lý Tú Quyền chết	
夏 五 月 貶 禮 部 右 侍 郎 黎 伯 玉 爲 内 人 書 家	Mùa hạ tháng năm biếm Hữu thị lang bộ Lễ là Lê Bá ngọc làm Nội nhân thư gia	
旱 祈 禱 得 雨	Đại hạn cầu đảo được mưa	
秋 七	Mùa thu tháng bảy	
夏	Mùa hạ	
月 中 元 節 罷 執 卓 以 遇 靈 仁 太 后 盂 蘭 盆 日 故 也	Tháng giữa mùa hè lễ Trung Nguyên được ngừng tổ chức để gặp ngày lễ Vu Lan bồn dành cho Linh Nhân hoàng thái hậu	
占 城 來 貢	Chiêm Thành sang cống	
九 月 辛 巳 設 慶 成 勝 嚴 聖 壽 寺 千 佛 會 使 占 城 使 之	Tháng chín ngày Tân Tỵ mở hội Thiên Phật để khánh thành chùa Thắng Nghiêm Thánh Thọ cho sứ Chiêm Thành đến xem	
丙 戌 帝 御 靈 光 殿 覧 舟 設 秋 筵 宴 禮	Ngày Bính Tuất vua ngự điện Linh Quang xem đua thuyền đặt lễ yến tiệc mùa thu	
冬 十 一 月 遣 員 外 郎 阮 伯 度 李 寶 臣 遺 白 黒 犀 二 及 馴 象 三 于 宋	Mùa đông tháng mười một sai Viên ngoại lang Nguyễn Bá Độ và Lý Bảo Thần đem biếu nhà Tống hai con tê giác trắng và đen và ba con voi thuần	
是 歲 甘 露 降 帝 手 書 天 下 太 平 聖 躬 萬 歲 八 字 于 碑 命 工 之	Năm ấy có mưa ngọt xuống vua tự tay viết tám chữ Thiên hạ thái bình thánh cung vạn tuế vào bia sai thợ khắc	
禁 京 城 内 外 諸 人 家 奴 僕 不 得 刺 墨 胷 脚 如 禁 軍 樣 及 刺 龍 文 於 沈 上 犯 者 沒 官	Cấm nô bộc của các nhà dân trong ngoài kinh thành không được xăm mực vào ngực chân giống như quân cấm cũng không được xăm hình rồng trên người ai phạm thì bị sung làm quan nô	
己 亥 十 年 宋 宣 和 元 年	Kỷ Hợi năm thứ mười Tống Tuyên Hoà năm thứ một	
春 正 月 帝 幸 快 場 捕 白 象	Mùa xuân tháng giêng vua ngự đến Khoái Trường bắt voi trắng	
四 月 都 曹 潘 田 献 白 鹿	Tháng bốn Đô tào Phan Điền dâng hươu trắng	
五 月 設 慶 成 浄 慮 寺 會	Tháng năm mở hội khánh thành chùa Tịnh Lự	
龍 見 于 京 師 茶 肆	Rồng hiện ở hàng bán nước chè ở Kinh sư	
秋 七 月 造 景 興 清 闌 二 舟	Mùa thu tháng bảy đóng hai chiếc thuyền Cảnh Hưng và Thanh Lan	
詔 諸 軍 造 戰 艦 治 兵 甲 親 征 麻 沙 洞 也	Xướng chiếu cho các quân đóng thuyền chiến sửa đồ binh giáp vua muốn thân đi đánh động Ma Sa	
八 月 甲 申 帝 御 靈 光 殿 競 舟	Tháng tám ngày Giáp Thân vua ngự điện Linh Quang xem đua thuyền	
設 秋 筵 宴 禮	Đặt lễ yến tiệc mùa thu	
此 後 每 歲 八 月 競 舟 設 宴 以 爲 常	Từ đó về sau hàng năm tháng tám đua thuyền thì đặt yến làm lệ thường	
冬 十 月 閲 武 捷 羽 林 等 六 兵 曹 之 勇 者 爲 玉 階 興 聖 捧 日 廣 成 武 都 火 頭 其 下 等 爲 玉 階 興 聖 捧 日 廣 城 武 都 御 龍 兵	Mùa đông tháng mười duyệt sáu binh tào Vũ Tiệp Vũ Lâm vv người nào mạnh khoẻ cho làm hoả đầu ở các đội quân Ngọc Giai Hưng Thánh Bổng Nhật Quảng Thành Vũ Đô còn bậc dưới thì cho làm binh ở các quân Ngọc Giai Hưng Thánh Bổng Nhật Quảng Thành Vũ Đô Ngự Long	
會 天 下 軍 人 盟 于 龍 墀	Họp các quân nhân cả nước thề ở Long Trì	
詔 曰 朕 膺 一 祖 二 宗 之 業 奄 有 蒼 生 是 四 海 兆 姓 之 民 均 如 赤 子 異 域 懷	Xướng chiếu rằng Trẫm nhận lấy cơ nghiệp của một tổ hai tông đứng trên dân đen coi triệu họ trong bốn biển đều như con đỏ cả đến cõi xa cũng mến	
仁 而 欵 附 殊 方 慕 義 以 來 賔	Lòng nhân mà quy phụ phương khác cũng mộ nghĩa mà lại chầu	
且 麻 沙 洞 丁 生 於 吾 之 境 土 而 麻 沙 洞 長 世 作 子 之 藩 臣	Vả xét dân động Ma Sa sống ở trong cõi của ta động trưởng Ma Sa thì đời đời làm phiên thần của ta	
蠢 爾 庸 酋 忽 負 先 臣 之 約 忘 其 歲 貢 乃 鈌 故 典 之 常	Thế mà nay kẻ tù trưởng ngu hèn ấy bỗng phụ ước của ông cha quên việc tuế cống khiếm khuyết lệ thường phép cũ	
朕 每 思 之 事 非 得 已 其 以 金 日 朕 自 討 之	Trẫm vẫn nghĩ mãi việc không đừng được nay trẫm tự làm tướng đi đánh dẹp	
咨 爾 将 師 六 軍 各 盡 汝 心 咸 聽 朕 命	Nay các tướng suý sáu quân các ngươi đều phải hết lòng tuân theo mệnh lệnh của trẫm	
乃 頒 噐 械 授 士 帝 御 景 興 舟 自 千 秋 步 旌 旗 日 劎 㦸 攅 霜 虎 賁 皷 譟 士 氣 百 倍	Bèn ban khí giới cho tướng sĩ vua ngự thuyền Cảnh Hưng xuất phát từ bến Thiên Thu cờ xí rợp trời gươm giáo rẽ sương quân sĩ đánh trống reo hò khí thế trăm phần hăng hái	
是 日 黃 龍 見 飛 逐 舟	Ngày hôm ấy rồng vàng hiện bay theo thuyền	
行 次 龍 水 峽 成 慶 侯 献 六 眸 龜 胷 上 有 王 字	Đến bờ thác Long Thuỷ Thành Khánh hầu dâng con rùa mắt có sáu con ngươi trên ức có chữ Vương	
花 浪 又 漲	Sóng lại nổi lên	
帝 自 擊 麻 沙 洞 破 之 俘 其 洞 長 魏 滂 等 數 百 人 獲 金 牛 羊 不	Vua tự làm tướng đánh động Ma Sa phá tan được bắt được bọn động trưởng Nguỵ Bàng vài trăm người lấy được vàng lụa trâu dê	
可 勝 數	Kể xiết	
命 偏 将 入 沿 邊 諸 洞 招 諭 逃 亡 使 各 㱕 業	Sai tỷ tướng vào các động dọc biên giới chiêu dụ những người trốn tránh bảo về yên nghiệp	
十 二 月 朔 㱕 自 麻 沙 洞 献 魏 滂 于 太 廟	Tháng mười hai ngày mồng một vua từ động Ma Sa về dâng tù Nguỵ Bàng ở Thái Miếu	
大 饗 士 頒 四 錢 帛 有 差	Khao thưởng tướng sĩ ban tiền lụa theo thứ bậc khác nhau	
庚 子 天 符 睿 武 元 年 宋 宣 和 二 年	Canh Tý Thiên Phù Dụê Vũ năm thứ một Tống Tuyên Hoà năm thứ hai	
春 正 月 朔 群 臣 上 表 勸 加 上 尊 號 仍 請 改 元	Mùa xuân tháng giêng ngày mồng một bề tôi đang biểu khuyên gia thêm tôn hiệu và xin đổi niên hiệu	
二 月 設 廣 照 燈 會	Tháng hai mở hội đèn Quảng Chiếu	
三 月 真 臘 國 來 貢	Tháng ba nước Chân Lạp sang cống	
夏 六 月 漆 作 甲 主 都 鄧 安 献 白 雀	Mùa hạ tháng sáu chủ đô giáp Tất tác Chú giải là Đặng An dâng chim sẻ trắng	
秋 九 月 皇 龍 見	Mùa thu tháng chín có rồng vàng hiện	
占 城 來 貢	Nước Chiêm Thành sang cống	
大 熟	Được mùa to	
冬 十 月 築 僊 臺	Mùa đông tháng mười đắp đài Chúng Tiên	
十 二 月 以 内 人 書 家 潘 景 牟 俞 都 爲 内 常 侍	Tháng mười hai cho Nội nhân thư gia là Phan Cảnh và Mâu Du Đô làm Nội thường thị	
辛 丑 二 年 宋 宣 和 三 年	Tân Sửu năm thứ hai Tống Tuyên Hoà năm thứ ba	
春 三 月 僧 王 愛 献 檳 榔 一 本 七 莖	Mùa xuân tháng ba nhà sư Vương Ái dâng cây cau một gốc bảy thân	
太 師 陳 度 上 言 此 物 不 足 爲 瑞	Thái sư Trần Độ nói Vật này không lấy gì làm điềm lành	
罷 之	Vua không nhận	
設 慶 成 寳 天 寺 重 明 殿 會	Mở hội khánh thành chùa Bảo Thiên và điện Trùng Minh	
夏 五 月 大 水 溢 大 興 門 外	Mùa hạ tháng năm nước to tràn vào đến bên ngoài cửa Đại Hưng	
秋 七 月 紫 草 番 人 何 午 献 白 麞	Mùa thu tháng bảy người phiên Tử Thảo là Hà Ngọ dâng con hoẵng trắng	
造 廣 教 寺	Làm chùa Quảng Giáo	
大 蝗	Có nhiều sâu cắn lúa	
冬 十 月 復 以 黎 伯 玉 爲 内 常 侍	Mùa đông tháng mười lại lấy Lê Bá Ngọc làm Nội thường thị	
壬 寅 三 年 宋 宣 和 四 年	Nhâm Dần năm thứ ba Tống Tuyên Hoà năm thứ bốn	
春 二 月 僧 楊 須 献 白 碧 玉 一 玨 雙 玉	Mùa xuân tháng hai nhà sư Dương Tu dâng một đôi ngọc bích trắng	
日 玨 三 月 戊 寅 設 慶 成 隊 山 崇 善 延 齡 寳 㙮 會	Tháng ba ngày Mậu Dần mở hội khánh thành bảo tháp Sùng Thiện Diên Linh ở Đội Sơn	
禁 諸 人 不 得 以 竹 木 杖 及 利 噐 相 毆	Cấm mọi người không được dùng gậy tre gỗ và đồ sắc nhọn đánh nhau	
夏 四 月 以 李 奉 等 二 十 人 爲 獄 吏 按 民 間 詞 訟	Mùa hạ tháng bốn cho bọn Lý Phụng hai mươi người làm ngục lại xét việc kiện tụng của dân gian	
五 月 交	Tháng năm người quảng Giao	
甲 管 范 波 司 献 白 鹿	Giáp là Phạm Ba Tư dâng hươu trắng	
秋 八 月 己 亥 帝 御 靈 光 殿 競 州	Mùa thu tháng tám ngày Kỷ Hợi vua ngự điện Linh Quang xem đua thuyền	
初 制 銀 纓 引 鹵 簿	Lấn đầu chế dải mũ bằng bạc sung vào đồ nghi vệ	
丁 未 員 外 郎 李 元 献 檳 榔 珠 一 顆	Ngày Đinh Mùi Viên ngoại lang là Lý Nguyên dâng một viên ngọc châu tân lang	
詔 卻 之	Xuống chiếu không nhận	
冬 十 二 月 遣 員 外 郎 丁 慶 安 袁 士 明 遺 馴 象 于 宋	Mùa đông tháng mười hai sai Viên ngoại lang là Đinh Khánh An và Viên Sĩ Minh đem voi nhà biếu nhà Tống	
