cn,sv,vi
芙蒥上社,Phù Lưu Thượng Xã,Phù Lưu Thượng Xã
天禄,Thiên Lộc,Thiên Lộc
南河,Nam Hà,Nam Hà
統,Thống,Thống
富,Phú,Phú
鄭根,Trịnh Căn,Trịnh Căn
兹,Tư,Tư
天禄,Thiên Lộc,Thiên Lộc
王,Vương,Vương
帝,Đế,Đế
統,Thống,Thống
富,Phú,Phú
鄭根,Trịnh Căn,Trịnh Căn
日麗,Nhật Lệ,Nhật Lệ
贈都,Tặng Đô,Tặng Đô
廣,Quảng,Quảng
陶世僊,Đào Thế Tiên,Đào Thế Tiên
少,Thiếu,Thiếu
世僊慈玉軸,Thế Tiên Từ Ngọc Trục,Thế Tiên Từ Ngọc Trục
廉十,Liêm Thập,Liêm Thập
阮國󱗻阮公璧范維質阮宗澧,Nguyễn Quốc Khôi Nguyễn Công Bích Phạm Duy Chất Nguyễn Tông Lễ,Nguyễn Quốc Khôi Nguyễn Công Bích Phạm Duy Chất Nguyễn Tông Lễ
統,Thống,Thống
副,Phó,Phó
太,Thái,Thái
富,Phú,Phú
鄭根,Trịnh Căn,Trịnh Căn
欽,Khâm,Khâm
太,Thái,Thái
宜,Nghi,Nghi
理國,Lí Quốc,Lí Quốc
陟帝,Trắc Đế,Trắc Đế
王,Vương,Vương
惟奉,Duy Phụng,Duy Phụng
統,Thống,Thống
太,Thái,Thái
鄭根,Trịnh Căn,Trịnh Căn
王,Vương,Vương
參,Tham,Tham
禮,Lễ,Lễ
尚,Thượng,Thượng
燕,Yên,Yên
范公著,Phạm Công Trứ,Phạm Công Trứ
理國,Lí Quốc,Lí Quốc
欽,Khâm,Khâm
總,Tổng,Tổng
太,Thái,Thái
宜,Nghi,Nghi
王,Vương,Vương
皇,Hoàng,Hoàng
王,Vương,Vương
辛丑,Tân Sửu,Tân Sửu
明永曆,Minh Vĩnh Lịch,Minh Vĩnh Lịch
清順治,Thanh Thuận Trị,Thanh Thuận Trị
節,Tiết,Tiết
太,Thái,Thái
宜,Nghi,Nghi
鄭根,Trịnh Căn,Trịnh Căn
京,Kinh,Kinh
陶光饒,Đào Quang Nhiêu,Đào Quang Nhiêu
黎仕澈胡士揚鄭時濟,Lê Sĩ Triệt Hồ Sĩ Dương Trịnh Thì Tế,Lê Sĩ Triệt Hồ Sĩ Dương Trịnh Thì Tế
督,Đốc,Đốc
奇華河中,Kì Hoa Hà Trung,Kì Hoa Hà Trung
節,Tiết,Tiết
太,Thái,Thái
宜,Nghi,Nghi
鄭根,Trịnh Căn,Trịnh Căn
清華大慶,Thanh Hoa Đại Khánh,Thanh Hoa Đại Khánh
黎時憲黄義膠,Lê Thì Hiến Hoàng Nghĩa Giao,Lê Thì Hiến Hoàng Nghĩa Giao
參,Tham,Tham
潘兼全,Phan Kiêm Toàn,Phan Kiêm Toàn
京,Kinh,Kinh
太,Thái,Thái
宜,Nghi,Nghi
鄭根,Trịnh Căn,Trịnh Căn
京,Kinh,Kinh
王,Vương,Vương
王,Vương,Vương
陳春榜,Trần Xuân Bảng,Trần Xuân Bảng
及殿,Cập Điện,Cập Điện
鄧公瓆陶公正吳珪,Đặng Công Chất Đào Công Chính Ngô Khuê,Đặng Công Chất Đào Công Chính Ngô Khuê
進,Tiến,Tiến
陳春榜黎致平,Trần Xuân Bảng Lê Trí Bình,Trần Xuân Bảng Lê Trí Bình
進,Tiến,Tiến
黎,Lê,Lê
仁傑,Nhân Kiệt,Nhân Kiệt
進,Tiến,Tiến
陞黎時憲,Thăng Lê Thì Hiến,Thăng Lê Thì Hiến
副,Phó,Phó
少,Thiếu,Thiếu
左中,Tả Trung,Tả Trung
黄義膠,Hoàng Nghĩa Giao,Hoàng Nghĩa Giao
副,Phó,Phó
左,Tả,Tả
陳文󰱇阮能紹潘兼全,Trần Văn Tuyển Nguyễn Năng Thiệu Phan Kiêm Toàn,Trần Văn Tuyển Nguyễn Năng Thiệu Phan Kiêm Toàn
文󰱇,Văn Tuyển,Văn Tuyển
御,Ngự,Ngự
都,Đô,Đô
川,Xuyên,Xuyên
䏻紹,Năng Thiệu,Năng Thiệu
御,Ngự,Ngự
都,Đô,Đô
陽,Dương,Dương
兼全,Kiêm Toàn,Kiêm Toàn
吏,Lại,Lại
右,Hữu,Hữu
瑞,Thuỵ,Thuỵ
黎仕澈,Lê Sĩ Triệt,Lê Sĩ Triệt
户,Hộ,Hộ
左,Tả,Tả
桂海,Quế Hải,Quế Hải
黎文隆黎文進劉世賡陳公衛,Lê Văn Long Lê Văn Tiến Lưu Thế Canh Trần Công Vệ,Lê Văn Long Lê Văn Tiến Lưu Thế Canh Trần Công Vệ
鄭棟鄭榩,Trịnh Đống Trịnh Kiền,Trịnh Đống Trịnh Kiền
鄭棟,Trịnh Đống,Trịnh Đống
太,Thái,Thái
鄭榩,Trịnh Kiền,Trịnh Kiền
少,Thiếu,Thiếu
户,Hộ,Hộ
尚,Thượng,Thượng
翰,Hàn,Hàn
掌翰,Chưởng Hàn,Chưởng Hàn
少,Thiếu,Thiếu
拔,Bạt,Bạt
楊致澤,Dương Trí Trạch,Dương Trí Trạch
吏,Lại,Lại
尚,Thượng,Thượng
國,Quốc,Quốc
太,Thái,Thái
尚,Thượng,Thượng
西王,Tây Vương,Tây Vương
福頻,Phúc Tần,Phúc Tần
皇,Hoàng,Hoàng
委節,Uỷ Tiết,Uỷ Tiết
太,Thái,Thái
宜,Nghi,Nghi
鄭根,Trịnh Căn,Trịnh Căn
日麗,Nhật Lệ,Nhật Lệ
少,Thiếu,Thiếu
陶光饒,Đào Quang Nhiêu,Đào Quang Nhiêu
少,Thiếu,Thiếu
黎時憲左,Lê Thì Hiến Tả,Lê Thì Hiến Tả
黄義膠,Hoàng Nghĩa Giao,Hoàng Nghĩa Giao
陪,Bồi,Bồi
黎仕澈鄭,Lê Sĩ Triệt Trịnh,Lê Sĩ Triệt Trịnh
時濟申璿,Thì Tế Thân Toàn,Thì Tế Thân Toàn
壬寅,Nhâm Dần,Nhâm Dần
九,Cửu,Cửu
萬慶,Vạn Khánh,Vạn Khánh
明曆,Minh Lịch,Minh Lịch
清康熙,Thanh Khang Hi,Thanh Khang Hi
永春盛烈,Vĩnh Xuân Thịnh Liệt,Vĩnh Xuân Thịnh Liệt
時阮福頻,Thời Nguyễn Phúc Tần,Thời Nguyễn Phúc Tần
京,Kinh,Kinh
髙平莫,Cao Bằng Mạc,Cao Bằng Mạc
七泉,Thất Tuyền,Thất Tuyền
副,Phó,Phó
少,Thiếu,Thiếu
雲,Vân,Vân
鄭榩,Trịnh Kiền,Trịnh Kiền
統,Thống,Thống
僉,Thiêm,Thiêm
馮曰脩,Phùng Viết Tu,Phùng Viết Tu
督,Đốc,Đốc
阮登鎬,Nguyễn Đăng Cảo,Nguyễn Đăng Cảo
參,Tham,Tham
禮,Lễ,Lễ
尚,Thượng,Thượng
東,Đông,Đông
少,Thiếu,Thiếu
燕,Yên,Yên
范公著,Phạm Công Trứ,Phạm Công Trứ
國,Quốc,Quốc
時國,Thời Quốc,Thời Quốc
公著,Công Trứ,Công Trứ
儒,Nho,Nho
左,Tả,Tả
黄義膠,Hoàng Nghĩa Giao,Hoàng Nghĩa Giao
義膠,Nghĩa Giao,Nghĩa Giao
太,Thái,Thái
勇畧,Dũng Lược,Dũng Lược
義膠金黄雲,Nghĩa Giao Kim Hoàng Vân,Nghĩa Giao Kim Hoàng Vân
洞命陪,Động Mệnh Bồi,Động Mệnh Bồi
胡士揚,Hồ Sĩ Dương,Hồ Sĩ Dương
北,Bắc,Bắc
楊𦤶澤,Dương Trí Trạch,Dương Trí Trạch
太,Thái,Thái
帝,Đế,Đế
萬慶,Vạn Khánh,Vạn Khánh
時帝,Thời Đế,Thời Đế
尙,Thượng,Thượng
西王,Tây Vương,Tây Vương
前,Tiền,Tiền
宗,Tông,Tông
維䄚,Duy Tào,Duy Tào
黄,Hoàng,Hoàng
聖,Thánh,Thánh
神,Thần,Thần
其維䄚,Kì Duy Tào,Kì Duy Tào
維䄔,Duy Vũ,Duy Vũ
王,Vương,Vương
參,Tham,Tham
禮,Lễ,Lễ
東,Đông,Đông
少,Thiếu,Thiếu
燕,Yên,Yên
范公著右,Phạm Công Trứ Hữu,Phạm Công Trứ Hữu
沛,Bái,Bái
黎曰登𣕲,Lê Viết Đăng Hằng,Lê Viết Đăng Hằng
黎登進,Lê Đăng Tiến,Lê Đăng Tiến
公著,Công Trứ,Công Trứ
王,Vương,Vương
王,Vương,Vương
皇,Hoàng,Hoàng
維䄔,Duy Vũ,Duy Vũ
皇,Hoàng,Hoàng
維䄚,Duy Tào,Duy Tào
胡士揚,Hồ Sĩ Dương,Hồ Sĩ Dương
翰,Hàn,Hàn
阮名實,Nguyễn Danh Thực,Nguyễn Danh Thực
帝,Đế,Đế
馮曰脩,Phùng Viết Tu,Phùng Viết Tu
山西,Sơn Tây,Sơn Tây
郭同德,Quách Đồng Đức,Quách Đồng Đức
張文嶺,Trương Văn Lĩnh,Trương Văn Lĩnh
國威,Quốc Oai,Quốc Oai
文嶺,Văn Lĩnh,Văn Lĩnh
皇,Hoàng,Hoàng
皇,Hoàng,Hoàng
景治,Cảnh Trị,Cảnh Trị
盖,Cái,Cái
天,Thiên,Thiên
太祖髙皇帝,Thái Tổ Cao Hoàng Đế,Thái Tổ Cao Hoàng Đế
皇,Hoàng,Hoàng
荘宗裕皇帝,Trang Tông Dụ Hoàng Đế,Trang Tông Dụ Hoàng Đế
中宗武皇,Trung Tông Vũ Hoàng,Trung Tông Vũ Hoàng
京,Kinh,Kinh
帝,Đế,Đế
世祖太王,Thế Tổ Thái Vương,Thế Tổ Thái Vương
世宗毅皇帝,Thế Tông Nghị Hoàng Đế,Thế Tông Nghị Hoàng Đế
敬宗惠皇帝,Kính Tông Huệ Hoàng Đế,Kính Tông Huệ Hoàng Đế
成祖哲王,Thành Tổ Triết Vương,Thành Tổ Triết Vương
逮我皇,Đãi Ngã Hoàng,Đãi Ngã Hoàng
聖,Thánh,Thánh
神,Thần,Thần
文祖誼王,Văn Tổ Nghị Vương,Văn Tổ Nghị Vương
大,Đại,Đại
掌,Chưởng,Chưởng
西王,Tây Vương,Tây Vương
欽,Khâm,Khâm
節,Tiết,Tiết
總,Tổng,Tổng
太,Thái,Thái
宜,Nghi,Nghi
大,Đại,Đại
掌,Chưởng,Chưởng
西王,Tây Vương,Tây Vương
節,Tiết,Tiết
皇,Hoàng,Hoàng
皇,Hoàng,Hoàng
癸卯,Quý Mão,Quý Mão
景治,Cảnh Trị,Cảnh Trị
命胡士揚阮名實,Mệnh Hồ Sĩ Dương Nguyễn Danh Thực,Mệnh Hồ Sĩ Dương Nguyễn Danh Thực
户,Hộ,Hộ
嘉壽,Gia Thọ,Gia Thọ
阮廷正,Nguyễn Đình Chính,Nguyễn Đình Chính
北,Bắc,Bắc
京,Kinh,Kinh
大𧻗,Đại Việt,Đại Việt
大越史記本紀續編,Đại Việt Sử Ký Bản Kỷ Tục Biên,Đại Việt Sử Ký Bản Kỷ Tục Biên
黎皇朝紀,Lê Hoàng Triều KỶ,Lê Hoàng Triều KỶ
玄宗穆皇帝諱維䄔神宗,Huyền Tông Mục Hoàng Đế Huý Duy Vũ Thần Tông,Huyền Tông Mục Hoàng Đế Huý Duy Vũ Thần Tông
真宗,Chân Tông,Chân Tông
在,Tại,Tại
䘮果盛,Táng Quả Thịnh,Táng Quả Thịnh
帝,Đế,Đế
享,Hưởng,Hưởng
惜,Tích,Tích
癸卯景治,Quý Mão Cảnh Trị,Quý Mão Cảnh Trị
明永曆,Minh Vĩnh Lịch,Minh Vĩnh Lịch
清康熙,Thanh Khang Hi,Thanh Khang Hi
帝,Đế,Đế
王,Vương,Vương
左,Tả,Tả
擢,Trạc,Trạc
鄭槏右,Trịnh Kiêm Hữu,Trịnh Kiêm Hữu
普,Phổ,Phổ
黄仕科都,Hoàng Sĩ Khoa Đô,Hoàng Sĩ Khoa Đô
强,Cường,Cường
阮援都,Nguyễn Viện Đô,Nguyễn Viện Đô
膠,Giao,Giao
鄭楹,Trịnh Doanh,Trịnh Doanh
胡士楊,Hồ Sĩ Dương,Hồ Sĩ Dương
東,Đông,Đông
阮名實,Nguyễn Danh Thực,Nguyễn Danh Thực
男,Nam,Nam
阮廷正,Nguyễn Đình Chính,Nguyễn Đình Chính
領,Bắc,Bắc
命胡士楊阮名實阮廷正,Mệnh Hồ Sĩ Dương Nguyễn Danh Thực Nguyễn Đình Chính,Mệnh Hồ Sĩ Dương Nguyễn Danh Thực Nguyễn Đình Chính
贈都,Tặng Đô,Tặng Đô
韜,Thao,Thao
莫敬門,Mạc Kính Môn,Mạc Kính Môn
左,Tả,Tả
敬門,Kính Môn,Kính Môn
敬門,Kính Môn,Kính Môn
高平,Cao Bằng,Cao Bằng
皇,Hoàng,Hoàng
黎維祫,Lê Duy Hợp,Lê Duy Hợp
少,Thiếu,Thiếu
護,Hộ,Hộ
武公添,Vũ Công Thiêm,Vũ Công Thiêm
承憲,Thừa Hiến,Thừa Hiến
正,Chính,Chính
黎斅,Lê Hiệu,Lê Hiệu
楊㵆,Dương Hạo,Dương Hạo
清,Thanh,Thanh
快州常信,Khoái Châu Thường Tín,Khoái Châu Thường Tín
八,Bát,Bát
爲,Vi,Vi
承憲,Thừa Hiến,Thừa Hiến
阮公璧,Nguyễn Công Bích,Nguyễn Công Bích
京北,Kinh Bắc,Kinh Bắc
阮簷,Nguyễn Thiềm,Nguyễn Thiềm
海陽,Hải Dương,Hải Dương
阮名實,Nguyễn Danh Thực,Nguyễn Danh Thực
刑,Hình,Hình
黎公朝,Lê Công Triều,Lê Công Triều
清華,Thanh Hoa,Thanh Hoa
修南郊昭事,Tu Nam Giao Chiêu Sự,Tu Nam Giao Chiêu Sự
南郊,Nam Giao,Nam Giao
胡士楊,Hồ Sĩ Dương,Hồ Sĩ Dương
花郎,Hoa Lang,Hoa Lang
花郎,Hoa Lang,Hoa Lang
以阮曰任,Dĩ Nguyễn Viết Nhiệm,Dĩ Nguyễn Viết Nhiệm
太原,Thái Nguyên,Thái Nguyên
承,Thừa,Thừa
范維質,Phạm Duy Chất,Phạm Duy Chất
山西,Sơn Tây,Sơn Tây
衛,Vệ,Vệ
鄭梐,Trịnh Bệ,Trịnh Bệ
都,Đô,Đô
貶范立,Biếm Phạm Lập,Biếm Phạm Lập
兵,Binh,Binh
立禮,Lập Lễ,Lập Lễ
海陽,Hải Dương,Hải Dương
以都,Dĩ Đô,Dĩ Đô
祿,Lộc,Lộc
丁文,Đinh Văn,Đinh Văn
安廣,Yên Quảng,Yên Quảng
清華乂安,Thanh Hoa Nghệ An,Thanh Hoa Nghệ An
甲辰,Giáp Thìn,Giáp Thìn
明永曆,Minh Vĩnh Lịch,Minh Vĩnh Lịch
清康熙,Thanh Khang Hi,Thanh Khang Hi
會,Hội,Hội
王,Vương,Vương
朕,Trẫm,Trẫm
太祖髙皇,Thái Tổ Cao Hoàng,Thái Tổ Cao Hoàng
吳,Ngô,Ngô
光紹統元,Quang Thiệu Thống Nguyên,Quang Thiệu Thống Nguyên
莫,Mạc,Mạc
羿浞,Nghệ Trác,Nghệ Trác
皇,Hoàng,Hoàng
中興,Trung Hưng,Trung Hưng
鄭,Trịnh,Trịnh
世祖太王成祖哲王,Thế Tổ Thái Vương Thành Tổ Triết Vương,Thế Tổ Thái Vương Thành Tổ Triết Vương
皇,Hoàng,Hoàng
莊宗裕皇帝中宗武皇帝中,Trang Tông Dụ Hoàng Đế Trung Tông Vũ Hoàng Đế Trung,Trang Tông Dụ Hoàng Đế Trung Tông Vũ Hoàng Đế Trung
至英宗峻皇帝,Chí Anh Tông Tuấn Hoàng Đế,Chí Anh Tông Tuấn Hoàng Đế
耿,Cảnh,Cảnh
廷彦,Đình Ngạn,Đình Ngạn
成祖哲王,Thành Tổ Triết Vương,Thành Tổ Triết Vương
世宗毅皇帝,Thế Tông Nghị Hoàng Đế,Thế Tông Nghị Hoàng Đế
萬頼,Vạn Lại,Vạn Lại
莫,Mạc,Mạc
聖,Thánh,Thánh
昇龍,Thăng Long,Thăng Long
太山磐石,Thái Sơn Bàn Thạch,Thái Sơn Bàn Thạch
敬宗惠皇帝,Kính Tông Huệ Hoàng Đế,Kính Tông Huệ Hoàng Đế
成祖哲王,Thành Tổ Triết Vương,Thành Tổ Triết Vương
皇,Hoàng,Hoàng
神宗淵皇帝,Thần Tông Uyên Hoàng Đế,Thần Tông Uyên Hoàng Đế
文祖誼王,Văn Tổ Nghị Vương,Văn Tổ Nghị Vương
兹大,Tư Đại,Tư Đại
尙師西王,Thượng Sư Tây Vương,Thượng Sư Tây Vương
王,Vương,Vương
宜,Nghi,Nghi
鄭根,Trịnh Căn,Trịnh Căn
烏,Ô,Ô
王,Vương,Vương
黄,Hoàng,Hoàng
尙,Thượng,Thượng
西王,Tây Vương,Tây Vương
皇,Hoàng,Hoàng
尙,Thượng,Thượng
西王,Tây Vương,Tây Vương
王,Vương,Vương
會,Hội,Hội
武惟斷,Vũ Duy Đoạn,Vũ Duy Đoạn
以阮潤,Dĩ Nguyễn Nhuận,Dĩ Nguyễn Nhuận
刑,Hình,Hình
阮國,Nguyễn Quốc,Nguyễn Quốc
刑,Hình,Hình
黄榮,Hoàng Vinh,Hoàng Vinh
大,Đại,Đại
宗,Tông,Tông
鄭横陪,Trịnh Hoành Bồi,Trịnh Hoành Bồi
豊禄,Phong Lộc,Phong Lộc
吳濬,Ngô Tuấn,Ngô Tuấn
珥,Nhị,Nhị
庚子,Canh Tí,Canh Tí
丁酉庚子癸卯,Đinh Dậu Canh Tí Quý Mão,Đinh Dậu Canh Tí Quý Mão
唐,Đường,Đường
黄鍾,Hoàng Chung,Hoàng Chung
賜阮曰庻,Tứ Nguyễn Viết Thứ,Tứ Nguyễn Viết Thứ
梁荗勳,Lương Mậu Huân,Lương Mậu Huân
以阮能紹,Dĩ Nguyễn Năng Thiệu,Dĩ Nguyễn Năng Thiệu
吏,Lại,Lại
武榮進,Vũ Vinh Tiến,Vũ Vinh Tiến
副,Phó,Phó
阮名實,Nguyễn Danh Thực,Nguyễn Danh Thực
清華,Thanh Hoa,Thanh Hoa
黎公朝,Lê Công Triều,Lê Công Triều
清華,Thanh Hoa,Thanh Hoa
憲,Hiến,Hiến
貶石,Biếm Thạch,Biếm Thạch
萊,Lai,Lai
鄭栢,Trịnh Bách,Trịnh Bách
都,Đô,Đô
都,Đô,Đô
纘,Toản,Toản
鄭𣛧,Trịnh Sâm,Trịnh Sâm
都,Đô,Đô
時鄭栢鄭𣛧,Thời Trịnh Bách Trịnh Sâm,Thời Trịnh Bách Trịnh Sâm
右,Hữu,Hữu
全,Toàn,Toàn
鄭梯,Trịnh Đệ,Trịnh Đệ
贈少,Tặng Thiếu,Tặng Thiếu
范質,Phạm Chất,Phạm Chất
刑,Hình,Hình
刑,Hình,Hình
桂堂,Quế Đường,Quế Đường
文允,Văn Doãn,Văn Doãn
戊子,Mậu Tí,Mậu Tí
己酉,Kỉ Dậu,Kỉ Dậu
東南翼軫,Đông Nam Dực Chẩn,Đông Nam Dực Chẩn
張,Trương,Trương
王,Vương,Vương
正大,Chính Đại,Chính Đại
慕周,Mộ Chu,Mộ Chu
人,Nhân,Nhân
彗,Tuệ,Tuệ
加太,Gia Thái,Gia Thái
溪,Khê,Khê
鄭杖,Trịnh Trượng,Trịnh Trượng
中,Trung,Trung
太,Thái,Thái
莅,Li,Li
鄭棟,Trịnh Đống,Trịnh Đống
東,Đông,Đông
少,Thiếu,Thiếu
雲,Vân,Vân
鄭榩,Trịnh Kiền,Trịnh Kiền
南,Nam,Nam
少尉豪,Thiếu Uý Hào,Thiếu Uý Hào
黎時憲,Lê Thời Hiến,Lê Thời Hiến
西,Tây,Tây
少,Thiếu,Thiếu
奠,Điện,Điện
鄭楃,Trịnh Ốc,Trịnh Ốc
北,Bắc,Bắc
以參,Dĩ Tham,Dĩ Tham
范公著,Phạm Công Trứ,Phạm Công Trứ
吏,Lại,Lại
尙,Thượng,Thượng
陪,Bồi,Bồi
陳登選,Trần Đăng Tuyển,Trần Đăng Tuyển
户,Hộ,Hộ
阮能紹,Nguyễn Năng Thiệu,Nguyễn Năng Thiệu
禮,Lễ,Lễ
尙,Thượng,Thượng
武惟志,Vũ Duy Chí,Vũ Duy Chí
兵,Binh,Binh
潘兼全,Phan Kiêm Toàn,Phan Kiêm Toàn
刑,Hình,Hình
黎仕澈,Lê Sĩ Triệt,Lê Sĩ Triệt
御,Ngự,Ngự
以禮,Dĩ Lễ,Dĩ Lễ
右,Hữu,Hữu
芳桂,Phương Quế,Phương Quế
黎斅,Lê Hiệu,Lê Hiệu
工,Công,Công
尙,Thượng,Thượng
國,Quốc,Quốc
延禄,Diên Lộc,Diên Lộc
楊㵆,Dương Hạo,Dương Hạo
工,Công,Công
左,Tả,Tả
刑,Hình,Hình
義嶺,Nghĩa Lĩnh,Nghĩa Lĩnh
同存澤,Đồng Tồn Trạch,Đồng Tồn Trạch
户,Hộ,Hộ
右,Hữu,Hữu
阮勢濱,Nguyễn Thế Tân,Nguyễn Thế Tân
北,Bắc,Bắc
京北,Kinh Bắc,Kinh Bắc
以大,Dĩ Đại,Dĩ Đại
香澤,Hương Trạch,Hương Trạch
武方丈,Vũ Phương Trượng,Vũ Phương Trượng
太,Thái,Thái
太,Thái,Thái
廉勇,Liêm Dũng,Liêm Dũng
陳登瀛,Trần Đăng Doanh,Trần Đăng Doanh
尙,Thượng,Thượng
理國府,Lí Quốc Phủ,Lí Quốc Phủ
聘王,Sính Vương,Sính Vương
鄭,Trịnh,Trịnh
玉,Ngọc,Ngọc
正,Chính,Chính
清,Thanh,Thanh
正,Chính,Chính
吳光,Ngô Quang,Ngô Quang
朱志遠,Chu Chí Viễn,Chu Chí Viễn
神宗淵皇帝,Thần Tông Uyên Hoàng Đế,Thần Tông Uyên Hoàng Đế
遐,Hà,Hà
爾安南,Nhĩ An Nam,Nhĩ An Nam
鄧,Đặng,Đặng
兹,Tư,Tư
南,Nam,Nam
南郊,Nam Giao,Nam Giao
乙巳,Ất Tị,Ất Tị
明永曆,Minh Vĩnh Lịch,Minh Vĩnh Lịch
清康熙,Thanh Khang Hi,Thanh Khang Hi
以翰,Dĩ Hàn,Dĩ Hàn
鄧公質,Đặng Công Chất,Đặng Công Chất
工,Công,Công
右,Hữu,Hữu
黎德望,Lê Đức Vọng,Lê Đức Vọng
海陽,Hải Dương,Hải Dương
承,Thừa,Thừa
阮偉,Nguyễn Vĩ,Nguyễn Vĩ
安廣,An Quảng,An Quảng
承政,Thừa Chính,Thừa Chính
范維質,Phạm Duy Chất,Phạm Duy Chất
東,Đông,Đông
大,Đại,Đại
阮永,Nguyễn Vĩnh,Nguyễn Vĩnh
乂安,Nghệ An,Nghệ An
參,Tham,Tham
范立禮,Phạm Lập Lễ,Phạm Lập Lễ
山西,Sơn Tây,Sơn Tây
參,Tham,Tham
裴廷員,Bùi Đình Viên,Bùi Đình Viên
東,Đông,Đông
阮公璧,Nguyễn Công Bích,Nguyễn Công Bích
太,Thái,Thái
阮廷正,Nguyễn Đình Chính,Nguyễn Đình Chính
奉天,Phụng Thiên,Phụng Thiên
范質黎得全汪銳梁誼黎榮黄德敦,Phạm Chất Lê Đắc Toàn Uông Nhuệ Lương Nghị Lê Vinh Hoàng Đức Đôn,Phạm Chất Lê Đắc Toàn Uông Nhuệ Lương Nghị Lê Vinh Hoàng Đức Đôn
都,Đô,Đô
阮榮盛武弼諧,Nguyễn Vinh Thịnh Vũ Bật Hài,Nguyễn Vinh Thịnh Vũ Bật Hài
提,Đề,Đề
杜善政阮公弼武求誨黎志道黎仁傑譚登用,Đỗ Thiện Chính Nguyễn Công Bật Vũ Cầu Hối Lê Chí Đạo Lê Nhân Kiệt Đàm Đăng Dụng,Đỗ Thiện Chính Nguyễn Công Bật Vũ Cầu Hối Lê Chí Đạo Lê Nhân Kiệt Đàm Đăng Dụng
給,Cấp,Cấp
頼登進黎致平枚仲和費登任,Lại Đăng Tiến Lê Trí Bình Mai Trọng Hoà Phí Đăng Nhiệm,Lại Đăng Tiến Lê Trí Bình Mai Trọng Hoà Phí Đăng Nhiệm
憲,Hiến,Hiến
武公平吳策諭,Vũ Công Bình Ngô Sách Dụ,Vũ Công Bình Ngô Sách Dụ
翰,Hàn,Hàn
校,Hiệu,Hiệu
阮廷柱阮光繕黎軾阮仕教汝進用梁荗勳武卓犖阮曰當阮進材裴宗,Nguyễn Đình Trụ Nguyễn Quang Thiện Lê Thức Nguyễn Sĩ Giáo Nhữ Tiến Dụng Lương Mậu Huân Vũ Trác Lạc Nguyễn Viết Đương Nguyễn Tiến Tài Bùi Tông,Nguyễn Đình Trụ Nguyễn Quang Thiện Lê Thức Nguyễn Sĩ Giáo Nhữ Tiến Dụng Lương Mậu Huân Vũ Trác Lạc Nguyễn Viết Đương Nguyễn Tiến Tài Bùi Tông
監,Giám,Giám
阮光岳,Nguyễn Quang Nhạc,Nguyễn Quang Nhạc
司,Tư,Tư
阮登明,Nguyễn Đăng Minh,Nguyễn Đăng Minh
興化,Hưng Hoá,Hưng Hoá
憲,Hiến,Hiến
張論道黎純噽寧達黎僚,Trương Luận Đạo Lê Thuần Phỉ Ninh Đạt Lê Liêu,Trương Luận Đạo Lê Thuần Phỉ Ninh Đạt Lê Liêu
阮嵩,Nguyễn Tung,Nguyễn Tung
監,Giám,Giám
時光岳登明,Thời Quang Nhạc Đăng Minh,Thời Quang Nhạc Đăng Minh
御,Ngự,Ngự
諒山,Lạng Sơn,Lạng Sơn
阮廷,Nguyễn Đình,Nguyễn Đình
弘,Hoằng,Hoằng
閉公亮閉國濟,Bế Công Lượng Bế Quốc Tế,Bế Công Lượng Bế Quốc Tế
以參,Dĩ Tham,Dĩ Tham
范公兼,Phạm Công Kiêm,Phạm Công Kiêm
山南,Sơn Nam,Sơn Nam
參,Tham,Tham
左,Tả,Tả
慈廉,Từ Liêm,Từ Liêm
阮可濯,Nguyễn Khả Trạc,Nguyễn Khả Trạc
工,Công,Công
尙,Thượng,Thượng
慈,Từ,Từ
禮,Lễ,Lễ
左,Tả,Tả
豊,Phong,Phong
吳濬,Ngô Tuấn,Ngô Tuấn
工,Công,Công
尙,Thượng,Thượng
正,Chính,Chính
鄭,Trịnh,Trịnh
玉𣖮,Ngọc Áng,Ngọc Áng
皇,Hoàng,Hoàng
范,Phạm,Phạm
玉厚,Ngọc Hậu,Ngọc Hậu
皇太,Hoàng Thái,Hoàng Thái
太,Thái,Thái
雷陽㫧銳,Lôi Dương Bạo Nhuệ,Lôi Dương Bạo Nhuệ
貶户,Biếm Hộ,Biếm Hộ
尙,Thượng,Thượng
川,Xuyên,Xuyên
陳登選,Trần Đăng Tuyển,Trần Đăng Tuyển
户,Hộ,Hộ
左,Tả,Tả
禮,Lễ,Lễ
陽,Dương,Dương
阮能紹,Nguyễn Năng Thiệu,Nguyễn Năng Thiệu
禮,Lễ,Lễ
左,Tả,Tả
吏,Lại,Lại
左,Tả,Tả
道江,Đạo Giang,Đạo Giang
阮宗澧,Nguyễn Tông Lễ,Nguyễn Tông Lễ
禮,Lễ,Lễ
右,Hữu,Hữu
都,Đô,Đô
桂海,Quế Hải,Quế Hải
黎仕澈,Lê Sĩ Triệt,Lê Sĩ Triệt
刑,Hình,Hình
左,Tả,Tả
副,Phó,Phó
麗海,Lệ Hải,Lệ Hải
武榮進,Vũ Vinh Tiến,Vũ Vinh Tiến
太,Thái,Thái
僉,Thiêm,Thiêm
川,Xuyên,Xuyên
鄭時濟,Trịnh Thời Tế,Trịnh Thời Tế
鴻,Hồng,Hồng
刑,Hình,Hình
尙,Thượng,Thượng
瑞,Thuỵ,Thuỵ
