cn,sv,entity_position,entities,entity_type
十二月殺萬郡公缺名在草津,Thập nhị nguyệt sát Vạn quận công khuyết danh tại Thảo Tân,"(4: 5), (10: 12)","Vạn, Thảo Tân",
莫敬恭走至金城縣使南郡缺名㨿南昌縣立營寨水步日夜廵守,Mạc Kính Cung tẩu chí Kim Thành huyện sử Nam quận khuyết danh cứ Nam Xang huyện lập doanh trại thuỷ bộ nhật dạ tuần thủ,"(0: 3), (5: 7), (9: 10), (14: 16)","Mạc Kính Cung, Kim Thành, Nam, Nam Xang",
南郡殺威武侯取其粮食,Nam quận sát Uy Vũ hầu thủ kì lương thực,(3: 5),Uy Vũ,
山西将涯郡髙郡等避居大同土官隂毒殺之,Sơn Tây tướng Nhai quận Cao quận đẳng tị cư Đại Đồng thổ quan âm độc sát chi,"(0: 2), (3: 4), (5: 6), (10: 12)","Sơn Tây, Nhai, Cao, Đại Đồng",
辛丑弘定二年明萬曆春二十九年,Tân Sửu Hoằng Định nhị niên Minh Vạn Lịch Xuân nhị thập cửu niên,"(0: 4), (6: 10)","Tân Sửu Hoằng Định, Minh Vạn Lịch Xuân",
正月平安王大兵進𭛁𭁈賊黨南陽交戦,chính nguyệt Bình An Vương đại binh tiến phát dữ tặc đảng Nam Dương giao chiến,"(2: 5), (12: 14)","Bình An Vương, Nam Dương",
官軍前鋒振郡公缺名亡于陣,Quan quân tiền phong Chấn quận công khuyết danh vong vu trận,(4: 5),Chấn,
會賊黨南郡峩郡俱死官軍大勝收󰱐船艘婦,Hội tặc đảng Nam quận Nga quận câu tử quan quân đại thắng thu hoạch thuyền sưu phụ,"(3: 4), (5: 6)","Nam, Nga",
梟南郡峩郡二首于長安以令眾,Kiêu Nam quận Nga quận nhị thủ vu Trường Yên dĩ lệnh chúng,"(0: 2), (3: 4), (8: 10)","Kiêu Nam, Nga, Trường Yên",
後又擒得南郡季弟漕郡渭郡來献軍門悉斬之,Hậu hựu cầm đắc Nam quận quý đệ Tào quận Vị quận lai hiến quân môn tất trảm chi,"(4: 5), (8: 9), (10: 11)","Nam, Tào, Vị",
三月平安王差兵畧定海陽,Tam nguyệt Bình An Vương sai binh lược định Hải Dương,"(2: 5), (9: 11)","Bình An Vương, Hải Dương",
莫敬恭聞之自棄兵馬而走,Mạc Kính Cung văn chi tự khí binh mã nhi tẩu,(0: 3),Mạc Kính Cung,
夏四月擒得僞勇郡誅之,Hạ tứ nguyệt cầm đắc nguỵ Dũng quận tru chi,(6: 7),Dũng,
勇郡青池人也,Dũng quận Thanh Trì nhân dã,(2: 4),Thanh Trì,
五月修築堤路自彰德至羙良以待迎接乘輿,Ngũ nguyệt tu trúc đê lộ tự Chương Đức chí Mĩ Lương dĩ đãi nghênh tiếp thừa dư,"(7: 9), (10: 12)","Chương Đức, Mĩ Lương",
秋八月帝自清華進至京師登御正殿,Thu bát nguyệt Đế tự Thanh Hoa tiến chí Kinh sư đăng ngự chính điện,"(3: 4), (5: 7), (9: 10)","Đế, Thanh Hoa, Kinh",
冬十一月始開鄕試科取士,Đông thập nhất nguyệt thuỷ khai Hương thí khoa thủ sĩ,(6: 7),Hương,
十二月命登郡公阮啓領兵畧定山西京北地方,Thập nhị nguyệt mệnh Đăng quận công Nguyễn Khải lĩnh binh lược định Sơn Tây Kinh Bắc địa phương,"(4: 5), (7: 9), (13: 17)","Đăng, Nguyễn Khải, Sơn Tây Kinh Bắc",
壬寅三年明萬曆三十年,Nhâm Dần tam niên Minh Vạn Lịch tam thập niên,"(0: 2), (4: 7)","Nhâm Dần, Minh Vạn Lịch",
春二月會試天下士人,Xuân nhị nguyệt Hội thí thiên hạ sĩ nhân,(3: 4),Hội,
取中格阮登等十名,Thủ trúng cách Nguyễn Đăng đẳng thập danh,(3: 5),Nguyễn Đăng,
及廷試上御敬天殿親策,Cập Đình thí Thượng ngự Kính Thiên điện thân sách,"(0: 2), (3: 4), (5: 7)","Cập Đình, Thượng, Kính Thiên",
賜阮登等二名進士出身阮珙等八名同進士出身,Tứ Nguyễn Đăng đẳng nhị danh Tiến sĩ xuất thân Nguyễn Cung đẳng bát danh đồng Tiến sĩ xuất thân,"(0: 3), (6: 7), (10: 12), (16: 17)","Tứ Nguyễn Đăng, Tiến, Nguyễn Cung, Tiến",
閏二月大同土将淳郡公缺名來降,Nhuận nhị nguyệt Đại Đồng thổ tướng Thuần quận công khuyết danh lai hàng,"(3: 5), (7: 8)","Đại Đồng, Thuần",
夏四月俘獲僞惠武王檻送京師斬之,Hạ tứ nguyệt phu hoạch nguỵ Huệ Vũ Vương hạm tống kinh sư trảm chi,(6: 9),Huệ Vũ Vương,
秋八月平安王觀兵于草津,Thu bát nguyệt Bình An Vương quan binh vu Thảo Tân,"(3: 6), (9: 11)","Bình An Vương, Thảo Tân",
癸卯四年明萬曆十一年,Quý Mão tứ niên Minh Vạn Lịch thập nhất niên,"(0: 2), (4: 7)","Quý Mão, Minh Vạn Lịch",
三春三月月中有黒子三點,tam Xuân tam nguyệt nguyệt trung hữu hắc tử tam điểm,(1: 2),Xuân,
清沔人夜入殿中坐于竜椅命斬之,Thanh Miện nhân dạ nhập điện trung toạ vu long ỷ mệnh trảm chi,(0: 2),Thanh Miện,
是時平安王疑登郡公阮啓有異心命内監岳郡公裴仕林械繋之按驗無賍一年乃赦,Thị thời Bình An Vương nghi Đăng quận công Nguyễn Khải hữu dị tâm mệnh nội giám Nhạc quận công Bùi Sĩ Lâm giới hệ chi án nghiệm vô tang nhất niên nãi xá,"(2: 5), (6: 7), (9: 11), (17: 18), (20: 23)","Bình An Vương, Đăng, Nguyễn Khải, Nhạc, Bùi Sĩ Lâm",
甲辰五年明萬曆十二年,Giáp Thìn ngũ niên Minh Vạn Lịch thập nhị niên,"(0: 2), (4: 7)","Giáp Thìn, Minh Vạn Lịch",
三春會試天下士人,tam Xuân Hội thí thiên hạ sĩ nhân,(1: 3),Xuân Hội,
取中格鄧維明等七名,Thủ trúng cách Đặng Duy Minh đẳng thất danh,(3: 6),Đặng Duy Minh,
及殿試賜阮世標等二名進士出身鄧維明等五名同進士出身,Cập Điện thí tứ Nguyễn Thế Tiêu đẳng nhị danh Tiến sĩ xuất thân Đặng Duy Minh đẳng ngũ danh đồng Tiến sĩ xuất thân,"(0: 2), (4: 7), (10: 11), (14: 17), (21: 22)","Cập Điện, Nguyễn Thế Tiêu, Tiến, Đặng Duy Minh, Tiến",
丙午七年明萬曆十四年,Bính Ngọ thất niên Minh Vạn Lịch thập tứ niên,"(0: 2), (4: 7)","Bính Ngọ, Minh Vạn Lịch",
三遣正使黎弼四副使阮用阮克寬等如明進謝恩禮,tam Khiển chánh sứ Lê Bật Tứ phó sứ Nguyễn Dụng Nguyễn Khắc Khoan đẳng như Minh tiến tạ ân lễ,"(1: 2), (4: 7), (9: 14), (16: 17)","Khiển, Lê Bật Tứ, Nguyễn Dụng Nguyễn Khắc Khoan, Minh",
又遣正使吳致和阮實,Hựu khiển chánh sứ Ngô Trí Hoà Nguyễn Thực,(4: 9),Ngô Trí Hoà Nguyễn Thực,
副使范鴻儒阮名世阮郁阮惟時等二部如明歳貢,phó sứ Phạm Hồng Nho Nguyễn Danh Thế Nguyễn Úc Nguyễn Duy Thì đẳng nhị bộ như Minh tuế cống,"(2: 13), (17: 18)","Phạm Hồng Nho Nguyễn Danh Thế Nguyễn Úc Nguyễn Duy Thì, Minh",
丁未八年明萬曆十五年,Đinh Mùi bát niên Minh Vạn Lịch thập ngũ niên,"(0: 2), (4: 7)","Đinh Mùi, Minh Vạn Lịch",
三春會試天下士人,tam Xuân Hội thí thiên hạ sĩ nhân,(1: 3),Xuân Hội,
取中格吳仁澈等五名,Thủ trúng cách Ngô Nhân Triệt đẳng ngũ danh,(3: 6),Ngô Nhân Triệt,
及殿試賜劉廷質進士出身吳仁澈等四各同進士出身,Cập Điện thí tứ Lưu Đình Chất Tiến sĩ xuất thân Ngô Nhân Triệt đẳng tứ các đồng Tiến sĩ xuất thân,"(0: 2), (4: 8), (11: 14), (18: 19)","Cập Điện, Lưu Đình Chất Tiến, Ngô Nhân Triệt, Tiến",
戊申九年明萬曆十六年,Mậu Thân cửu niên Minh Vạn Lịch thập lục niên,"(0: 2), (4: 7)","Mậu Thân, Minh Vạn Lịch",
三春二月初三日日中有暈两重,tam Xuân nhị nguyệt sơ tam nhật nhật trung hữu vựng lưỡng trùng,(1: 2),Xuân,
秋冬粟米大貴人多餓死,Thu Đông túc mễ đại quý nhân đa ngạ tử,(0: 2),Thu Đông,
庚戌十一年明萬曆十八年,Canh Tuất thập nhất niên Minh Vạn Lịch thập bát niên,"(0: 2), (5: 8)","Canh Tuất, Minh Vạn Lịch",
三春會試天下士人,tam Xuân Hội thí thiên hạ sĩ nhân,(1: 3),Xuân Hội,
取中格阮進用等七名,Thủ trúng cách Nguyễn Tiến Dụng đẳng thất danh,(3: 6),Nguyễn Tiến Dụng,
及廷試賜阮文奎進士出身阮,Cập Đình thí tứ Nguyễn Văn Khuê Tiến sĩ xuất thân Nguyễn,"(0: 2), (4: 8), (11: 12)","Cập Đình, Nguyễn Văn Khuê Tiến, Nguyễn",
進用等六名同進士出身,Tiến Dụng đẳng lục danh đồng Tiến sĩ xuất thân,"(0: 2), (6: 7)","Tiến Dụng, Tiến",
冬十月户部左侍郎衍嘉侯黎弼四啓言扵平安王其一定世子預付兵權以固人心其二處置強藩以一制度夫王者以天下爲一家卧榻之側𡸈容他人鼾睡兹太原諒山廣南順化等處本是先王境土曠年積弊任彼自爾強梁,Đông thập nguyệt Hộ bộ tả thị lang Diễn Gia hầu Lê Bật Tứ khải ngôn ư Bình An Vương kì nhất Định thế tử dự phó binh quyền dĩ cố nhân tâm kì nhị xử trí cường phiên dĩ nhất chế độ Phù Vương giả dĩ thiên hạ vi nhất gia ngoạ tháp chi trắc khởi dung tha nhân han thụy Tư Thái Nguyên Lạng Sơn Quảng Nam Thuận Hoá đẳng xứ bản thị Tiên vương cảnh thổ khoáng niên tích tệ nhậm bỉ tự nhĩ cường lương,"(3: 4), (8: 10), (11: 14), (17: 20), (22: 23), (43: 45), (62: 71), (75: 76)","Hộ, Diễn Gia, Lê Bật Tứ, Bình An Vương, Định, Phù Vương, Tư Thái Nguyên Lạng Sơn Quảng Nam Thuận Hoá, Tiên",
天,Thiên,(0: 1),Thiên,
下精兵悉聚京師而縱賊不擊此所謂養虎遺患也,hạ tinh binh tất tụ Kinh sư nhi túng tặc bất kích thử sở vị dưỡng hổ di hoạn dã,(5: 6),Kinh,
昔唐憲宗從黄裳之請以法度裁制藩鎮卒成中興之功,Tích Đường Hiến Tông tòng Hoàng Thường chi thỉnh dĩ pháp độ tài chế phiên trấn tốt thành trung hưng chi công,"(0: 4), (5: 7)","Tích Đường Hiến Tông, Hoàng Thường",
由唐以來𡸈無忠言以啓之乎恭乞裁斷行之,Do Đường dĩ lai khởi vô trung ngôn dĩ khải chi hồ Cung khất tài đoán hành chi,"(0: 2), (12: 13)","Do Đường, Cung",
辛亥十二年明萬曆十九年,Tân Hợi thập nhị niên Minh Vạn Lịch thập cửu niên,"(0: 2), (5: 8)","Tân Hợi, Minh Vạn Lịch",
三冬十月十六日傘圓山崩凣十二丈餘,tam Đông thập nguyệt thập lục nhật Tản Viên sơn băng phàm thập nhị trượng dư,"(1: 2), (7: 9)","Đông, Tản Viên",
十八日安越縣天雨血凣一日夜壬子十三年明萬曆四十年,Thập bát nhật Yên Việt huyện thiên vũ huyết phàm nhất nhật dạ Nhâm Tí thập tam niên Minh Vạn Lịch tứ thập niên,"(3: 5), (13: 15), (18: 21)","Yên Việt, Nhâm Tí, Minh Vạn Lịch",
秋八月御史󰱑僉都御史芳泉伯阮惟時𭁈十三道監察御史范珍等啓言扵平安王以爲民者國之本治國之道爱民而,Thu bát nguyệt Ngự sử đài Thiêm đô Ngự sử Phương Tuyền bá Nguyễn Duy Thì dữ thập tam đạo giám sát ngự sử Phạm Trân đẳng khải ngôn ư Bình An Vương dĩ vi Dân giả quốc chi bản trị quốc chi đạo ái dân nhi,"(3: 4), (6: 7), (8: 9), (10: 12), (13: 16), (24: 26), (30: 33), (35: 36)","Ngự, Thiêm, Ngự, Phương Tuyền, Nguyễn Duy Thì, Phạm Trân, Bình An Vương, Dân",
今聖上有意於民一政之施務在養民一令之行深戒擾民,Kim Thánh thượng hữu ý ư dân nhất chính chi thi vụ tại dưỡng dân nhất lệnh chi hành thâm giới nhiễu dân,(0: 2),Kim Thánh,
是以感動天地致天心未上順洪水之灾泛溢過常得非時政所䦕其可不恐惧脩省思所以致此之𠧨乎必䏻行保民之政則下順民心上合天意而轉灾爲祥年榖屡登家人給足海内昇平國家億萬年之基業今其自是有永矣,Thị dĩ cảm động thiên địa trí thiên tâm vị thượng thuận hồng thuỷ chi tai phiếm dật quá thường đắc phi thời chính sở quan kì khả bất khủng cụ tu tỉnh tư sở dĩ trí thử chi cữu hồ Tất năng hành bảo dân chi chính tắc hạ thuận dân tâm thượng hợp thiên ý nhi chuyển tai vi tường niên cốc lũ đăng gia nhân cấp túc hải nội thăng bình quốc gia ức vạn niên chi cơ nghiệp kim kì tự thị hữu vĩnh hĩ,(41: 42),Tất,
冬十月太傅清郡公鄭𭫨擒得僞蕭國于天健,Đông thập nguyệt thái phó Thanh quận công Trịnh Tráng cầm đắc nguỵ Tiêu Quốc vu Thiên Kiện,"(5: 6), (8: 10), (13: 15), (16: 18)","Thanh, Trịnh Tráng, Tiêu Quốc, Thiên Kiện",
山蕭國金榜不奪人也,sơn Tiêu Quốc Kim Bảng Bất Đoạt nhân dã,(1: 7),Tiêu Quốc Kim Bảng Bất Đoạt,
癸丑十四年明萬曆十一年,Quý Sửu thập tứ niên Minh Vạn Lịch thập nhất niên,"(0: 2), (5: 8)","Quý Sửu, Minh Vạn Lịch",
四春會試天下士人,tứ Xuân Hội thí thiên hạ sĩ nhân,(1: 3),Xuân Hội,
取中格裴必勝等七名,Thủ trúng cách Bùi Tất Thắng đẳng thất danh,(3: 6),Bùi Tất Thắng,
至廷試賜阮俊等七名並同進士出身,Chí Đình thí tứ Nguyễn Tuấn đẳng thất danh tịnh đồng Tiến sĩ xuất thân,"(0: 2), (4: 6), (11: 12)","Chí Đình, Nguyễn Tuấn, Tiến",
夏四月遣正使劉廷質阮登副使阮德澤黄琦阮政阮師卿等二部如明歳貢,Hạ tứ nguyệt khiển chánh sứ Lưu Đình Chất Nguyễn Đăng phó sứ Nguyễn Đức Trạch Hoàng Kì Nguyễn Chính Nguyễn Sư Khanh đẳng nhị bộ như Minh tuế cống,"(6: 11), (13: 23), (27: 28)","Lưu Đình Chất Nguyễn Đăng, Nguyễn Đức Trạch Hoàng Kì Nguyễn Chính Nguyễn Sư Khanh, Minh",
六月順廣太尉端國公阮黄卒,Lục nguyệt Thuận Quảng thái uý Đoan quốc công Nguyễn Hoàng tốt,"(2: 4), (6: 7), (9: 11)","Thuận Quảng, Đoan, Nguyễn Hoàng",
八月命太傅清郡公鄭𭫨經畧安廣等處恢拓境土,Bát nguyệt mệnh Thái phó Thanh quận công Trịnh Tráng kinh lược Yên Quảng đẳng xứ khôi thác cảnh thổ,"(3: 4), (5: 6), (8: 10), (12: 14)","Thái, Thanh, Trịnh Tráng, Yên Quảng",
甲寅十五年明萬曆十二年,Giáp Dần thập ngũ niên Minh Vạn Lịch thập nhị niên,"(0: 2), (5: 8)","Giáp Dần, Minh Vạn Lịch",
四夏六月勑封王孫鄭杖爲廉郡公鄭柞爲荣郡公鄭梌爲香郡公鄭榜爲會郡公鄭榛爲普郡公鄭廉爲朗郡公鄭栻爲倫郡公鄭棣爲和郡公,tứ Hạ lục nguyệt sắc phong vương tôn Trịnh Trượng vi Liêm quận công Trịnh Tạc vi Vinh quận công Trịnh Đồ vi Hương quận công Trịnh Bảng vi Hội quận công Trịnh Trăn vi Phổ quận công Trịnh Liêm vi Lãng quận công Trịnh Thức vi Luân quận công Trịnh Lệ vi Hoà quận công,"(1: 2), (8: 10), (11: 12), (14: 16), (17: 18), (20: 22), (23: 24), (26: 28), (29: 30), (32: 34), (35: 36), (38: 40), (41: 42), (44: 46), (47: 48), (50: 52), (53: 54)","Hạ, Trịnh Trượng, Liêm, Trịnh Tạc, Vinh, Trịnh Đồ, Hương, Trịnh Bảng, Hội, Trịnh Trăn, Phổ, Trịnh Liêm, Lãng, Trịnh Thức, Luân, Trịnh Lệ, Hoà",
秋九月封王子鄭棣爲瓊郡公,Thu cửu nguyệt phong vương tử Trịnh Lệ vi Quỳnh quận công,"(6: 8), (9: 10)","Trịnh Lệ, Quỳnh",
以刑科都給事中阮有作爲海陽參政,Dĩ Hình khoa đô cấp sự trung Nguyễn Hữu Tác vi Hải Dương tham chính,"(0: 2), (7: 10), (11: 13)","Dĩ Hình, Nguyễn Hữu Tác, Hải Dương",
乙卯十六年明萬曆十三年,Ất Mão thập lục niên Minh Vạn Lịch thập tam niên,"(0: 2), (5: 8)","Ất Mão, Minh Vạn Lịch",
四春二月朝堂阮澧等啓陳時弊凣八條,tứ Xuân nhị nguyệt triều đường Nguyễn Lễ đẳng khải trần thời tệ phàm bát điều,"(1: 2), (6: 8)","Xuân, Nguyễn Lễ",
平安王嘉納之特厚賞賜,Bình An Vương gia nộp chi đặc hậu thưởng tứ,(0: 3),Bình An Vương,
二十八日申時弘烈盛烈等社陂無故水涸當五刻後復如故,Nhị thập bát nhật Thân thì Hoằng Liệt Thịnh Liệt đẳng xã bi vô cố thuỷ hạc đương ngũ khắc hậu phục như cố,"(4: 5), (6: 10)","Thân, Hoằng Liệt Thịnh Liệt",
秋閏八月遣少尉舒郡公阮景堅等𭁈刑部尚書兼東閣𭓇士羙溪侯阮澧等迎接使臣回還,Thu nhuận bát nguyệt khiển thiếu uý Thư quận công Nguyễn Cảnh Kiên đẳng dữ Hình bộ thượng thư kiêm Đông các học sĩ Mĩ Khê hầu Nguyễn Lễ đẳng nghênh tiếp sứ thần hồi hoàn,"(7: 8), (10: 13), (15: 16), (20: 21), (24: 26), (27: 29)","Thư, Nguyễn Cảnh Kiên, Hình, Đông, Mĩ Khê, Nguyễn Lễ",
丙辰十七年明萬曆十四年,Bính Thìn thập thất niên Minh Vạn Lịch thập tứ niên,"(0: 2), (5: 8)","Bính Thìn, Minh Vạn Lịch",
四春正月二十六日月有食之是月會試天下士人,tứ Xuân chính nguyệt nhị thập lục nhật nguyệt hữu thực chi Thị nguyệt Hội thí thiên hạ sĩ nhân,"(1: 2), (12: 13), (14: 15)","Xuân, Thị, Hội",
取中格武勉等四名,Thủ trúng cách Vũ Miễn đẳng tứ danh,(3: 5),Vũ Miễn,
及廷試賜黎致用等同進士出身,Cập Đình thí tứ Lê Trí Dụng đẳng đồng Tiến sĩ xuất thân,"(0: 2), (4: 7), (9: 10)","Cập Đình, Lê Trí Dụng, Tiến",
二月以吏部右,Nhị nguyệt dĩ Lại bộ Hữu,"(3: 4), (5: 6)","Lại, Hữu",
侍郎春陽伯阮名世爲户部左侍郎工部右侍郎禮川伯阮克寬爲刑部左侍郎御史󰱑僉都御史芳泉伯阮惟時爲副都御史,thị lang Xuân Dương bá Nguyễn Danh Thế vi Hộ bộ Tả thị lang Công bộ Hữu thị lang Lễ Xuyên bá Nguyễn Khắc Khoan vi Hình bộ Tả thị lang Ngự sử đài thiêm đô ngự sử Phương Tuyền bá Nguyễn Duy Thì vi Phó đô ngự sử,"(2: 4), (5: 8), (9: 10), (11: 12), (14: 15), (16: 17), (19: 21), (22: 25), (26: 27), (28: 29), (31: 32), (38: 40), (41: 44), (45: 46)","Xuân Dương, Nguyễn Danh Thế, Hộ, Tả, Công, Hữu, Lễ Xuyên, Nguyễn Khắc Khoan, Hình, Tả, Ngự, Phương Tuyền, Nguyễn Duy Thì, Phó",
又論奉使功陞寺卿仁嶺伯劉廷質爲吏部右侍郎福岩伯阮登爲户部右侍郎並加侯爵參政唐川子阮政爲太僕寺卿伯爵,Hựu luận phụng sứ công thăng Tự khanh Nhân Lĩnh bá Lưu Đình Chất vi Lại bộ Hữu thị lang Phúc Nham bá Nguyễn Đăng vi Hộ bộ Hữu thị lang tịnh gia hầu tước Tham chính Đường Xuyên tử Nguyễn Chính vi Thái bộc Tự khanh bá tước,"(6: 7), (8: 10), (11: 14), (15: 16), (17: 18), (20: 22), (23: 25), (26: 27), (28: 29), (35: 36), (37: 39), (40: 42), (43: 44), (45: 46)","Tự, Nhân Lĩnh, Lưu Đình Chất, Lại, Hữu, Phúc Nham, Nguyễn Đăng, Hộ, Hữu, Tham, Đường Xuyên, Nguyễn Chính, Thái, Tự",
三月二十七日陞署衛事東陽侯阮文祚爲沔郡公花陽侯王珠爲浦郡公,Tam nguyệt nhị thập thất nhật thăng Thự vệ sự Đông Dương hầu Nguyễn Văn Tộ vi Miện quận công Hoa Dương hầu Vương Châu vi Phố quận công,"(7: 8), (10: 12), (13: 16), (17: 18), (20: 22), (23: 25), (26: 27)","Thự, Đông Dương, Nguyễn Văn Tộ, Miện, Hoa Dương, Vương Châu, Phố",
秋九月户部左侍郎衍嘉侯黎弼四吏部右侍,Thu cửu nguyệt Hộ bộ tả thị lang Diễn Gia hầu Lê Bật Tứ Lại bộ Hữu thị,"(3: 4), (8: 10), (11: 15), (16: 17)","Hộ, Diễn Gia, Lê Bật Tứ Lại, Hữu",
郎仁嶺侯劉廷質等啓言於平安王以爲天心仁爱必形於譴告之中或不知自省天又出灾異以警惧之,lang Nhân Lĩnh hầu Lưu Đình Chất đẳng khải ngôn ư Bình An Vương dĩ vi Thiên tâm nhân ái tất hình ư khiển cáo chi trung hoặc bất tri tự tỉnh thiên hựu xuất tai dị dĩ cảnh cụ chi,"(1: 3), (4: 7), (11: 14), (16: 17)","Nhân Lĩnh, Lưu Đình Chất, Bình An Vương, Thiên",
兹聞令催清華處各縣社逐項選益另兵,Tư văn lênh thôi Thanh Hoa xứ các huyện xã trục hạng tuyển ích lánh binh,(4: 6),Thanh Hoa,
何以堪恭乞以敬天恤民爲心酌停益兵以爲仁政之事,hà dĩ kham Cung khất dĩ kính thiên tuất dân vi tâm chước đình ích binh dĩ vi nhân chính chi sự,(3: 4),Cung,
丁巳十八年明萬曆十五年,Đinh Tị thập bát niên Minh Vạn Lịch thập ngũ niên,"(0: 2), (5: 8)","Đinh Tị, Minh Vạn Lịch",
四春正月望月有食之,tứ Xuân chính nguyệt vọng nguyệt hữu thực chi,(1: 2),Xuân,
以郎中裴秉彛爲安廣道監察御史以其󰁮宗忠義始終全節故也,Dĩ Lang trung Bùi Bỉnh Di vi Yên Quảng đạo giám sát ngự sử dĩ kì cử tông trung nghĩa thuỷ chung toàn tiết cố dã,"(0: 2), (3: 6), (7: 9)","Dĩ Lang, Bùi Bỉnh Di, Yên Quảng",
又以郎中杜世隆爲廣南道監察御史以其父有功於國故擢用之,Hựu dĩ Lang trung Đỗ Thế Long vi Quảng Nam đạo giám sát ngự sử dĩ kì phụ hữu công ư quốc cố trạc dụng chi,"(2: 3), (4: 7), (8: 10)","Lang, Đỗ Thế Long, Quảng Nam",
加吏部尚書掌六部事兼御史󰱑都御史澧郡公阮文階爲少傅,Gia Lại bộ thượng thư chưởng lục bộ sự kiêm Ngự sử đài đô ngự sử Lễ quận công Nguyễn Văn Giai vi thiếu phó,"(0: 2), (10: 11), (16: 17), (19: 22)","Gia Lại, Ngự, Lễ, Nguyễn Văn Giai",
山西處大蝗,Sơn Tây xứ đại hoàng,(0: 2),Sơn Tây,
戊午十九年明萬曆十六年,Mậu Ngọ thập cửu niên Minh Vạn Lịch thập lục niên,"(0: 2), (5: 8)","Mậu Ngọ, Minh Vạn Lịch",
四春正月望月有食之,tứ Xuân chính nguyệt vọng nguyệt hữu thực chi,(1: 2),Xuân,
二月命太傅清郡公鄭𭫨率属将舒郡公阮景堅澧郡公阮文階拔郡公缺名右郡公謝世福登郡公阮啓附郡公阮潶𭁈督視禮部左侍郎芳蘭侯阮實又命太保萬郡公鄭椿率属将𣹟郡,Nhị nguyệt mệnh thái phó Thanh quận công Trịnh Tráng suất thuộc tướng Thư quận công Nguyễn Cảnh Kiên Lễ quận công Nguyễn Văn Giai Bạt quận công khuyết danh Hữu quận công Tạ Thế Phúc Đăng quận công Nguyễn Khải Phụ quận công Nguyễn Hắc dữ Đốc thị Lễ bộ Tả thị lang Phương Lan hầu Nguyễn Thực hựu mệnh Thái bảo Vạn quận công Trịnh Xuân suất thuộc tướng Cống quận,"(5: 6), (8: 10), (13: 14), (16: 20), (22: 26), (30: 31), (33: 37), (39: 42), (44: 46), (47: 48), (49: 50), (51: 52), (54: 56), (57: 59), (61: 62), (63: 64), (66: 68), (71: 72)","Thanh, Trịnh Tráng, Thư, Nguyễn Cảnh Kiên Lễ, Nguyễn Văn Giai Bạt, Hữu, Tạ Thế Phúc Đăng, Nguyễn Khải Phụ, Nguyễn Hắc, Đốc, Lễ, Tả, Phương Lan, Nguyễn Thực, Thái, Vạn, Trịnh Xuân, Cống",
公黄廷逢倫郡公鄭栻普郡公鄭榛朗郡公鄭稴𭁈督視副都御史芳泉伯阮惟時等分爲二道進兵會擊莫慶王及僞智水等,công Hoàng Đình Phùng Luân quận công Trịnh Thức Phổ quận công Trịnh Trăn Lãng quận công Trịnh Liêm dữ Đốc thị phó Đô ngự sử Phương Tuyền bá Nguyễn Duy Thì đẳng phân vi nhị đạo tiến binh hội kích Mạc Khánh Vương cập nguỵ Trí Thuỷ đẳng,"(1: 5), (7: 10), (12: 15), (17: 19), (20: 21), (23: 24), (26: 28), (29: 32), (41: 44), (46: 48)","Hoàng Đình Phùng Luân, Trịnh Thức Phổ, Trịnh Trăn Lãng, Trịnh Liêm, Đốc, Đô, Phương Tuyền, Nguyễn Duy Thì, Mạc Khánh Vương, Trí Thuỷ",
太傅清郡公鄭𭫨密差富禄侯缺名斬得僞立郡公,Thái phó Thanh quận công Trịnh Tráng mật sai Phú Lộc hầu khuyết danh trảm đắc nguỵ Lập quận công,"(2: 3), (5: 7), (9: 11), (17: 18)","Thanh, Trịnh Tráng, Phú Lộc, Lập",
三月命太保鎮郡公鄭林率属将禄郡公缺名會郡公鄭榜等往伐武崖僞黨,Tam nguyệt mệnh Thái bảo Trấn quận công Trịnh Lâm suất thuộc tướng Lộc quận công khuyết danh Hội quận công Trịnh Bảng đẳng vãng phạt Vũ Nhai nguỵ đảng,"(3: 4), (5: 6), (8: 10), (13: 14), (18: 19), (21: 23), (26: 28)","Thái, Trấn, Trịnh Lâm, Lộc, Hội, Trịnh Bảng, Vũ Nhai",
以刑部左侍郎禮川伯阮克寬爲督視,Dĩ Hình bộ Tả thị lang Lễ xuyên bá Nguyễn Khắc Khoan vi Đốc thị,"(0: 2), (3: 4), (6: 7), (9: 12), (13: 14)","Dĩ Hình, Tả, Lễ, Nguyễn Khắc Khoan, Đốc",
又添差左軍營将士一千前軍營将士一千𭁈俱進擊,Hựu thiêm sai Tả quân dinh tướng sĩ nhất thiên Tiền quân dinh tướng sĩ nhất thiên dữ câu tiến kích,"(3: 4), (10: 11)","Tả, Tiền",
是月安定縣丹泥上社銅皷山崩,Thị nguyệt Yên Định huyện Đan Nê Thượng xã Đồng Cổ sơn băng,"(2: 4), (5: 8), (9: 11)","Yên Định, Đan Nê Thượng, Đồng Cổ",
二十四日寅時有彗星見于西南方形如紅絹,Nhị thập tứ nhật Dần thì hữu Tuệ tinh hiện vu Tây Nam phương hình như hồng quyên,"(4: 5), (7: 8), (11: 13)","Dần, Tuệ, Tây Nam",
二十八日酉時有星直騰西方走形如帛疋,Nhị thập bát nhật Dậu thì hữu tinh trực đằng Tây phương tẩu hình như bạch thất,"(4: 5), (10: 11)","Dậu, Tây",
